HOMO,LUMO,dipolemoment,H_T1_S1,H_T1_S0,f,emission_energy,density_Pt,CT_S1,R_EH _S1a,LAMBDA_S1,R_EH _S1b,CT_S2,R_EH _S2a,LAMBDA_S2,R_EH _S2b,CT_S3,R_EH _S3a,LAMBDA_S3,R_EH _S3b,CT_T1,R_EH _T1a,LAMBDA_T1,R_EH _T1b,CT_T2,R_EH _T2a,LAMBDA_T2,R_EH _T2b,CT_T3,R_EH _T3a,LAMBDA_T3,R_EH _T3b,coor_bond_type (1),coor_bond_type (2),coor_bond_type (3),coor_bond_type (4),coor_bond_length (1),coor_bond_length (2),coor_bond_length (3),coor_bond_length (4),density_coor (1),density_coor (2),density_coor (3),density_coor (4),refractive index,ML_pred,Exp. Quantum Yield
-0.204345,-0.092467,9.51301,54.08,463.64,-6.426564,2.13139,14.121282,0.9538,0.3274,5.2451,3.9316,0.9213,0.4327,5.0106,3.2253,0.8906,0.3149,5.236,1.0447,0.9217,0.3359,5.0015,3.8111,0.853,0.4321,4.7259,3.199,0.8572,0.3588,4.8944,1.0944,1,1,2,2,1.971336,1.992325,2.171084,2.171572,4.840183,4.840431,5.325176,5.325317,1.4448,0.625347733,0.529999971
-0.209033,-0.087001,1.201561,97.66,131.62,-8.081522,1.86197,14.12128,0.8551,0.7065,4.2763,0.1787,0.8594,0.6736,4.3711,1.5327,0.9058,0.6647,4.745,1.8282,0.7006,0.7068,3.5165,0.2455,0.702,0.6923,3.5462,0.4063,0.7705,0.6601,3.8982,0.8409,1,2,2,1,2.05041,2.058645,2.07955,2.090433,4.841349,5.324684,5.324657,4.841174,1.4072,0.206701711,0.239999995
-0.206883,-0.094504,6.512926,23.64,104.340001,-7.358898,1.8318,14.121276,0.8797,0.6006,5.023,1.2139,0.8688,0.6244,5.2794,1.8935,0.8974,0.6109,5.4511,2.4309,0.7782,0.6058,4.1959,1.2522,0.7504,0.6242,4.0871,1.3666,0.7569,0.744,4.2446,0.5263,2,2,3,3,1.976421,1.986083,2.027571,2.036485,5.324045,5.324028,5.744493,5.744437,1.4448,0.128794327,0.140000001
-0.195439,-0.04744,4.805928,78.11,4.19,-11.544416,2.32233,14.121281,0.8688,0.6535,5.2574,1.8907,0.9346,0.3755,5.8441,4.2803,0.8602,0.6262,4.863,2.327,0.6592,0.6473,3.154,2.0145,0.6037,0.5884,3.4182,1.0412,0.7705,0.582,4.6342,2.2117,1,1,3,3,1.967843,1.99804,2.092006,2.144312,4.841714,4.840766,5.744965,5.744812,1.4906,0.654916048,0.579999983
-0.214567,-0.102787,13.705848,58.17,87.06,-7.996318,2.04779,14.121286,0.9421,0.4236,5.8962,4.637,0.914,0.4999,4.4952,2.9189,0.9501,0.379,6.1959,4.8981,0.8987,0.4347,5.5057,4.5094,0.8461,0.5064,4.2312,2.8721,0.6944,0.6234,3.638,1.7246,1,2,1,2,1.917046,2.00242,2.028084,2.166458,4.842709,5.32475,4.840883,5.325087,1.4448,0.174241632,0.039999999
-0.208645,-0.09821,15.184807,10.7,6.740001,-8.39719,2.07626,14.121286,0.918,0.4354,6.7111,5.1958,0.8877,0.2271,5.4182,4.2394,0.9571,0.3402,6.3903,4.5945,0.854,0.4451,6.133,4.8481,0.7853,0.5101,4.623,2.6359,0.8676,0.4161,5.5423,3.729,1,2,1,2,1.924149,1.991097,2.026369,2.178057,4.842699,5.324697,4.840887,5.324992,1.4448,0.151673093,0.270000011
-0.230681,-0.106746,15.328974,25.49,344.489999,-7.365988,2.12714,14.12128,0.8541,0.5233,4.4607,3.0528,0.8481,0.4857,4.0547,2.5565,0.8237,0.6504,4.1422,1.4945,0.8055,0.5306,4.1815,3.0087,0.7212,0.5374,3.5057,2.3235,0.7302,0.6124,3.6761,1.7383,1,2,2,4,1.973681,1.978275,2.119767,2.400241,4.840987,5.324571,5.325129,8.105009,1.4448,0.156566799,0.025
-0.208833,-0.083341,6.586305,0.92,28.969999,-10.523384,2.22194,14.12128,0.9571,0.4608,5.4637,3.9152,0.9657,0.3888,6.2284,4.8065,0.8119,0.6599,4.134,1.2838,0.7513,0.5491,4.1067,2.628,0.8353,0.5607,4.4381,2.4568,0.8366,0.506,4.9149,2.8758,1,2,2,3,1.926246,2.005842,2.099313,2.201184,4.84121,5.324325,5.32472,5.744987,1.4448,0.779504955,0.720000029
-0.231286,-0.10467,15.761356,728.78,58.59,-8.315886,2.08069,14.12128,0.8468,0.5365,4.7066,2.2624,0.8527,0.5936,5.1839,1.3435,0.8006,0.3201,4.2588,3.4362,0.7512,0.606,4.493,1.5846,0.8071,0.5247,4.4725,2.6045,0.7826,0.5673,4.4264,1.8321,2,1,2,4,1.929212,2.018919,2.185746,2.373537,5.324587,4.840932,5.325028,8.105001,1.4448,0.157495841,0.059999999
-0.235617,-0.105837,16.399235,797.03,119.289999,-8.09947,2.10281,14.12128,0.8427,0.6038,4.6375,2.2363,0.8302,0.6363,4.6262,1.9304,0.8817,0.5517,4.8647,2.6047,0.7394,0.6114,4.1897,2.1397,0.8001,0.6295,4.4016,2.0319,0.7523,0.5782,3.898,2.1381,2,1,2,4,1.92159,2.018834,2.195051,2.366087,5.324636,4.840926,5.32503,8.105001,1.4448,0.170073152,0.050000001
