Ada_pred_value,LGBM_pred_value,RF_pred_value,XGB_pred_value,Exp. Kr
5.00E+00,5.04E+00,4.95E+00,4.96E+00,5.257678575
4.86E+00,4.77E+00,4.76E+00,4.74E+00,4.689308859
4.74E+00,4.73E+00,4.66E+00,4.64E+00,4.363177902
4.82E+00,4.90E+00,4.90E+00,4.88E+00,4.885599255
4.83E+00,4.79E+00,4.90E+00,4.82E+00,5.071552289
4.86E+00,5.04E+00,5.00E+00,4.98E+00,5
5.14E+00,5.17E+00,5.19E+00,5.20E+00,5.265032342
4.69E+00,4.61E+00,4.62E+00,4.59E+00,4.627087997
4.94E+00,5.02E+00,4.99E+00,4.99E+00,4.991045157
4.36E+00,4.35E+00,4.36E+00,4.25E+00,4.356547324
4.79E+00,4.71E+00,4.71E+00,4.69E+00,4.77815125
5.07E+00,5.03E+00,5.11E+00,5.05E+00,5.409933123
4.73E+00,4.90E+00,4.92E+00,4.87E+00,5.051152522
4.56E+00,4.51E+00,4.61E+00,4.53E+00,4.766412847
5.06E+00,5.13E+00,5.27E+00,5.08E+00,5.409933123
5.12E+00,5.13E+00,5.14E+00,5.11E+00,5.045322979
4.42E+00,4.26E+00,4.27E+00,4.24E+00,4.337242168
4.56E+00,4.57E+00,4.49E+00,4.51E+00,4.560667306
4.77E+00,4.84E+00,4.78E+00,4.79E+00,4.851937465
4.80E+00,4.80E+00,4.77E+00,4.75E+00,4.635483747
4.50E+00,4.77E+00,4.69E+00,4.64E+00,4.045322979
4.90E+00,4.93E+00,4.75E+00,4.81E+00,4.69019608
4.85E+00,4.98E+00,4.93E+00,4.93E+00,4.975176416
4.64E+00,4.72E+00,4.55E+00,4.60E+00,4.264817823
4.71E+00,4.78E+00,4.79E+00,4.72E+00,4.88592634
4.97E+00,5.08E+00,5.13E+00,5.11E+00,5.190331698
4.86E+00,4.92E+00,4.91E+00,4.90E+00,4.968949681
4.82E+00,4.98E+00,4.94E+00,4.92E+00,5.06069784
4.92E+00,4.95E+00,5.07E+00,4.99E+00,5.320146286
4.99E+00,5.10E+00,5.00E+00,5.05E+00,5.053078443
4.98E+00,5.10E+00,4.82E+00,4.95E+00,4.840106094
5.11E+00,5.07E+00,5.12E+00,5.11E+00,5.460730839
4.93E+00,5.05E+00,5.06E+00,5.01E+00,5.157607853
4.79E+00,4.82E+00,4.86E+00,4.84E+00,4.828015064
4.92E+00,4.90E+00,4.94E+00,4.85E+00,4.986427193
4.69E+00,4.74E+00,4.89E+00,4.83E+00,5.016390416
4.96E+00,4.96E+00,5.05E+00,5.01E+00,5.151731913
4.56E+00,4.40E+00,4.50E+00,4.46E+00,4.222716471
4.86E+00,4.88E+00,5.02E+00,4.94E+00,5.10720997
4.91E+00,4.89E+00,4.85E+00,4.82E+00,4.637224408
4.61E+00,4.68E+00,4.70E+00,4.62E+00,4.923761961
4.71E+00,4.67E+00,4.60E+00,4.59E+00,4.455931956
4.99E+00,4.96E+00,4.97E+00,5.00E+00,4.982723388
4.73E+00,4.80E+00,4.84E+00,4.79E+00,4.84509804
4.77E+00,4.77E+00,4.88E+00,4.79E+00,5
4.88E+00,5.03E+00,5.05E+00,5.01E+00,5.113943352
4.32E+00,4.30E+00,4.32E+00,4.24E+00,4.313264452
4.92E+00,4.94E+00,4.92E+00,4.89E+00,4.857332496
5.10E+00,5.28E+00,5.35E+00,5.25E+00,5.462397998
4.77E+00,4.89E+00,4.77E+00,4.79E+00,4.301029996
4.85E+00,4.88E+00,4.94E+00,4.90E+00,5.245512668
4.92E+00,4.90E+00,4.92E+00,4.93E+00,4.901458321
4.97E+00,5.10E+00,5.05E+00,5.03E+00,5.037426498
4.97E+00,5.17E+00,5.16E+00,5.06E+00,5.33243846
4.75E+00,4.70E+00,4.73E+00,4.70E+00,4.677068163
4.91E+00,4.94E+00,5.12E+00,5.00E+00,5.264817823
4.76E+00,4.75E+00,4.84E+00,4.73E+00,4.903089987
5.06E+00,5.16E+00,5.21E+00,5.17E+00,5.301029996
4.58E+00,4.55E+00,4.72E+00,4.64E+00,4.872096784
4.54E+00,4.43E+00,4.42E+00,4.43E+00,4.227886705
5.12E+00,5.24E+00,5.34E+00,5.25E+00,5.431798276
5.09E+00,5.04E+00,5.08E+00,5.07E+00,5.276461804
4.75E+00,4.87E+00,4.90E+00,4.86E+00,4.942008053
4.86E+00,4.82E+00,4.83E+00,4.80E+00,4.797959644
4.97E+00,5.04E+00,5.01E+00,5.02E+00,5.021189299
4.90E+00,5.02E+00,5.01E+00,4.97E+00,5.028333599
4.76E+00,4.76E+00,4.76E+00,4.72E+00,4.803705355
4.85E+00,4.84E+00,4.87E+00,4.84E+00,4.849950543
4.86E+00,4.78E+00,4.86E+00,4.86E+00,4.86923172
