HOMO,LUMO,dipolemoment,H_T1_S1,H_T1_S0,f,density_Pt,CT_S1,R_EH _S1a,LAMBDA_S1,R_EH _S1b,CT_S2,R_EH _S2a,LAMBDA_S2,R_EH _S2b,CT_S3,R_EH _S3a,LAMBDA_S3,R_EH _S3b,CT_T1,R_EH _T1a,LAMBDA_T1,R_EH _T1b,CT_T2,R_EH _T2a,LAMBDA_T2,R_EH _T2b,CT_T3,R_EH _T3a,LAMBDA_T3,R_EH _T3b,coor_bond_type (1),coor_bond_type (2),coor_bond_type (3),coor_bond_type (4),coor_bond_length (1),coor_bond_length (2),coor_bond_length (3),coor_bond_length (4),density_coor (1),density_coor (2),density_coor (3),density_coor (4),Calc_lambda,refractive index,ML_pred,lambda
-0.227509587,-0.102201118,14.80902735,161.2499997,76.77999933,-8.469999999,14.12127906,0.8926,0.5273,5.5163,4.020100002,0.8719,0.663,4.893400003,1.607100003,0.9085,0.4972,5.636099998,3.481899998,0.7435,0.5633,4.3567,3.091100001,0.8128,0.5976,4.785099998,2.681299997,0.7946,0.5777,4.580600001,2.661600002,2,1,2,4,1.970460099,2.002317407,2.173275178,2.390103136,5.324405736,4.840938271,5.324974341,8.105005738,572.8038278,1.4448,530.3634033,529
-0.209032679,-0.087001257,1.201560923,97.65999966,131.6199994,-8.079999998,14.12127984,0.8551,0.7065,4.276299998,0.178699999,0.8594,0.6736,4.3711,1.532699998,0.9058,0.6647,4.745,1.828199999,0.7006,0.7068,3.516499999,0.245500003,0.702,0.6923,3.546200002,0.406300002,0.7705,0.6601,3.898200001,0.840900003,1,1.999999999,2,1,2.050409959,2.058645428,2.079550432,2.09043273,4.841348731,5.324683504,5.324657207,4.84117397,665.9613212,1.4072,575.2905273,582
-0.198456131,-0.06768528,8.025054115,171.1900002,191.76,-8.3,14.12128479,0.8415,0.6383,4.211599998,1.178800002,0.867,0.3309,3.7605,1.763599999,0.858,0.5194,4.374499999,1.970199998,0.7172,0.6252,3.682500002,1.296800002,0.7955,0.5458,4.089300002,2.039300003,0.813,0.3603,3.686300001,1.6866,1,1,2,1.999999999,1.99529672,2.023609152,2.066520989,2.098211143,4.841194819,4.841039778,5.32461099,5.324580648,578.6037925,1.406,541.3164673,512
-0.194131954,-0.073554635,6.020564548,50.42000013,143.6099991,-8.130000002,14.12128104,0.9372,0.4698,5.408300002,3.814699999,0.9791,0.3391,5.684600002,4.178300002,0.9382,0.4604,5.511600001,3.7924,0.8689,0.4667,4.958100002,3.839300002,0.7339,0.6225,3.432100002,1.772500002,0.9235,0.366,5.193899998,3.793099999,1,1,2,1.999999999,1.976827003,1.989092758,2.186378284,2.227202056,4.840191635,4.840528432,5.324826621,5.326158139,547.2342606,1.406,494.8008118,464
-0.237901694,-0.104586692,19.95495591,296.0099999,33.92000051,-8.979999999,14.12127832,0.8854,0.5499,5.231199998,3.145999998,0.8645,0.6553,4.8288,1.7275,0.8915,0.6118,5.314600001,1.982099998,0.7113,0.6124,3.953700001,2.170300002,0.822,0.6085,4.740700002,2.249500003,0.7806,0.6145,4.392900001,1.7488,2,1,2,4,1.966891456,2.022372122,2.16889488,2.3797565,5.32449059,4.840639541,5.324927749,8.105008408,564.1132948,1.4448,528.15625,528
-0.239796916,-0.093639535,24.67583556,71.13000032,98.81000094,-7.770000001,14.1212766,0.8321,0.6519,4.189599999,0.692300001,0.915,0.4306,5.022699997,2.297599999,0.9352,0.5095,5.112800002,1.432099999,0.6871,0.6371,3.421600001,0.953300003,0.7173,0.4933,3.662800002,1.459699997,0.6339,0.6625,3.295999998,1.552799999,2,1.999999999,2,1.999999999,2.010891345,2.019924751,2.024545875,2.05042776,5.324881982,5.324742331,5.324584446,5.324446264,511.7474947,1.4448,475.9152222,460
-0.227738952,-0.115363519,16.4276272,159.5299998,283.2600002,-7.200000003,14.12127859,0.8791,0.58,4.675200001,2.662100003,0.8747,0.4878,4.180000003,2.304400001,0.8926,0.4846,4.587499999,2.050399999,0.8111,0.5788,4.223199998,2.580100002,0.8175,0.4885,4.2525,2.029700002,0.8028,0.5098,4.155700001,2.193699999,2,1,2,4,1.989017094,2.002044455,2.132227474,2.386174763,5.324518548,4.840973741,5.325089328,8.105016142,703.7337608,1.4448,621.9447021,624
-0.226962657,-0.090945976,14.1093285,44.29000016,175.0399991,-8.629999997,14.1212795,0.8268,0.6077,4.5324,1.617600002,0.8748,0.5018,4.792099999,2.079299998,0.9349,0.1461,5.950200001,5.477699999,0.7081,0.5959,3.680100002,1.479900002,0.787,0.5077,4.213300002,1.9996,0.7712,0.5452,4.211600001,1.148699998,1,1.999999999,2,1.999999999,1.910031675,2.055047688,2.094101239,2.125002353,4.841217011,5.32474876,5.324699381,5.326020178,538.5918429,1.4448,521.319519,496
-0.210032038,-0.067738141,11.15665831,59.49000039,135.26,-8.57,14.12128269,0.8039,0.7064,3.937900001,0.515099998,0.9061,0.5634,4.961699999,1.660800002,0.9124,0.4744,4.881899998,2.601999999,0.6854,0.6874,3.326700002,0.455,0.788,0.6607,3.984600003,1.393699999,0.802,0.5028,4.161300002,2.621800001,1,1,2,1.999999999,1.970097967,2.004659572,2.122764471,2.1724065,4.840616309,4.84033892,5.324918596,5.324824477,542.5318744,1.4448,482.5462646,468
-0.21597712,-0.094839157,15.8383216,27.83999971,159.3599993,-7.839999997,14.1212846,0.8186,0.6288,4.594999998,1.743,0.9065,0.4854,5.680099998,2.881000003,0.9224,0.4906,5.981999999,2.810699997,0.6665,0.6182,3.635800001,2.021499999,0.8304,0.5216,4.690900001,3.6801,0.8143,0.5056,5.326499998,3.320999999,1,1,2,1.999999999,1.966424674,1.975964575,2.02010569,2.16356858,4.842885768,4.841216064,5.324565647,5.324887338,677.5993314,1.4448,609.5308228,591
-0.207465891,-0.090142499,11.50353095,158.0099997,817.7300004,-8.810000001,14.12127888,0.8172,0.5418,4.323500001,1.902200002,0.8349,0.4949,4.453499999,2.4806,0.5057,0.5273,2.896600001,2.062200003,0.7141,0.5457,3.564500002,1.875500002,0.7882,0.5037,4.250600001,2.3872,0.6186,0.6125,3.6255,1.390400002,1,1,3,3.000000001,1.959596387,1.971804503,2.118043673,2.118064683,4.841166782,4.84197188,5.745338951,5.745195973,699.2809807,1.4305,468.9271545,434
-0.228990848,-0.105561476,8.164709302,50.43000037,165.7500004,-8.120000003,14.12128161,0.8111,0.7928,4.195900001,0.109399997,0.8995,0.4781,5.519700002,2.064399997,0.8887,0.5305,5.4369,2.324500002,0.7321,0.7953,3.649800001,0.1992,0.7232,0.6765,3.741000002,0.613500001,0.8091,0.5437,4.588999999,1.915000001,1,1.999999999,2,4,1.92011484,2.019486321,2.051699783,2.507096528,4.841088669,5.324697919,5.32453579,8.105004948,687.1100379,1.4448,600.2518921,594
