HOMO,LUMO,dipolemoment,H_T1_S1,H_T1_S0,f,emission_energy,density_Pt,CT_S1,R_EH _S1a,LAMBDA_S1,R_EH _S1b,CT_S2,R_EH _S2a,LAMBDA_S2,R_EH _S2b,CT_S3,R_EH _S3a,LAMBDA_S3,R_EH _S3b,CT_T1,R_EH _T1a,LAMBDA_T1,R_EH _T1b,CT_T2,R_EH _T2a,LAMBDA_T2,R_EH _T2b,CT_T3,R_EH _T3a,LAMBDA_T3,R_EH _T3b,coor_bond_type (1),coor_bond_type (2),coor_bond_type (3),coor_bond_type (4),coor_bond_length (1),coor_bond_length (2),coor_bond_length (3),coor_bond_length (4),density_coor (1),density_coor (2),density_coor (3),density_coor (4),refractive index,Exp. Quantum Yield
-0.228990848,-0.105561476,8.1647093,50.43,165.75,-8.115066985,1.80466,14.12128161,0.8111,0.7928,4.1959,0.1094,0.8995,0.4781,5.5197,2.0644,0.8887,0.5305,5.4369,2.3245,0.7321,0.7953,3.6498,0.1992,0.7232,0.6765,3.741,0.6135,0.8091,0.5437,4.589,1.915,1,2,2,4,1.92011484,2.019486321,2.051699783,2.507096528,4.841088669,5.32469792,5.32453579,8.105004949,1.4448,0.1
-0.171757629,-0.040691675,2.96979093,2.44,62.81,-7.545467753,2.44917,14.12128243,0.8961,0.5373,4.5685,2.1833,0.9199,0.5584,4.6424,1.4745,0.9073,0.1978,4.86,4.2429,0.8508,0.5347,4.3949,2.206,0.8183,0.5615,4.2941,1.4019,0.7401,0.6643,3.6648,0.9913,1,1,2,2,1.963202231,1.963202231,2.143543561,2.143543561,4.840399134,4.840398818,5.325641781,5.325641733,1.406,0.37
-0.207158818,-0.084469589,3.65206085,4.52,219.02,-6.13026695,2.3286,14.12127994,0.9353,0.4776,5.3569,2.8314,0.8325,0.5802,4.509,1.8944,0.9156,0.4836,6.2113,4.225,0.8713,0.4829,4.8699,2.7436,0.7339,0.56,4.3572,2.3149,0.7972,0.5574,4.2234,2.0261,1,2,2,3,1.953099076,2.013799146,2.076444317,2.085209342,4.84079275,5.32446078,5.324553032,5.744878416,1.4448,0.49
-0.192489044,-0.083513876,8.45313158,4.94,113.12,-7.277660212,2.03732,14.12127972,0.9564,0.4157,5.6071,3.8757,0.9722,0.3037,6.682,5.5754,0.8617,0.4828,5.0496,1.9464,0.9036,0.4168,5.2043,3.838,0.8851,0.3504,5.629,4.7609,0.7471,0.5697,4.1088,1.8636,1,2,2,3,1.920075259,2.011901837,2.098580711,2.162662711,4.84117926,5.324519571,5.324709558,5.744104344,1.4448,0.23
-0.172957902,-0.067854215,2.85699596,0.38,21.16,-8.361900307,1.78561,14.12128432,0.9111,0.5316,4.776,2.4751,0.9212,0.5362,4.8554,2.2989,0.8961,0.4737,3.9384,1.391,0.8749,0.5288,4.6194,2.4988,0.8609,0.5321,4.455,2.3002,0.7579,0.626,4.1079,1.7585,1,1,2,2,1.964379037,1.964379037,2.143432061,2.143432061,4.840647206,4.840647443,5.325165605,5.325167504,1.406,0.14
-0.217362528,-0.100769018,15.7925742,107.15,271.68,-7.801795402,2.03412,14.12128057,0.855,0.5162,5.3548,3.9421,0.8522,0.6532,5.1525,2.4329,0.873,0.555,5.443,2.8042,0.7831,0.5359,4.8197,3.7305,0.7998,0.6442,4.793,2.5774,0.7536,0.5694,4.2002,2.7333,2,1,2,4,1.95735587,1.977963346,2.163012945,2.401751652,5.32454446,4.840939693,5.325041329,8.105007277,1.4448,0.16
-0.209063996,-0.079578246,14.26000332,115.63,493.02,-7.022829487,2.62649,14.12128133,0.9607,0.3308,5.5715,4.0736,0.9313,0.3939,5.2489,3.6081,0.9746,0.3435,5.9928,4.4697,0.9173,0.3388,5.2445,3.9911,0.8584,0.4037,4.7783,3.4954,0.7359,0.6458,4.5724,1.271,1,1,2,2,1.987210608,2.002616538,2.155835569,2.191700253,4.840216379,4.840255747,5.32535367,5.324870881,1.406,0.79
-0.230681258,-0.106745703,15.3289738,25.49,344.49,-7.365988453,2.12714,14.12127993,0.8541,0.5233,4.4607,3.0528,0.8481,0.4857,4.0547,2.5565,0.8237,0.6504,4.1422,1.4945,0.8055,0.5306,4.1815,3.0087,0.7212,0.5374,3.5057,2.3235,0.7302,0.6124,3.6761,1.7383,1,2,2,4,1.973681079,1.978274501,2.119767204,2.400240821,4.840987406,5.324570955,5.32512866,8.105009261,1.4448,0.025
-0.224888043,-0.089938602,7.78369081,122.54,35.78,-9.099693852,2.1585,14.12127875,0.9211,0.6633,5.1389,1.9691,0.8852,0.5481,5.2376,3.206,0.8708,0.6516,5.2034,1.8415,0.7134,0.6612,3.5798,2.3311,0.7205,0.7087,3.9742,0.6655,0.7507,0.5833,4.2278,2.562,1,2,2,4,1.922480949,2.077654928,2.078617329,2.491321135,4.841152961,5.324677904,5.324694267,8.104991511,1.4448,0.2
-0.219772754,-0.086890694,16.64718652,93.66,29.91,-11.10081581,2.1457,14.12127871,0.8906,0.5714,5.4787,3.5019,0.9542,0.5297,6.6165,4.9283,0.8174,0.6301,4.8512,1.6495,0.7141,0.56,3.7219,4.1671,0.7451,0.5755,4.6408,2.1416,0.8093,0.5978,4.9456,2.7697,2,1,2,4,1.975276436,2.005131666,2.181084363,2.389060485,5.324472324,4.840841417,5.324964361,8.105003934,1.4448,0.29
-0.202708488,-0.077738513,8.77448447,104.6,338.38,-6.876256612,2.00934,14.12127641,0.8399,0.5462,4.6608,2.7047,0.8213,0.5696,4.3646,2.2649,0.8748,0.6144,5.2183,2.4033,0.7063,0.5592,3.6163,2.5755,0.7081,0.5783,3.4611,2.0679,0.7072,0.6275,3.6642,2.2436,2,2,3,3,1.967640719,1.977725461,2.018331241,2.022711794,5.324555954,5.324518158,5.745100698,5.745068617,1.5011,0.27
-0.22361292,-0.076725772,9.40255289,139.21,195.67,-6.932047972,2.60339,14.12127969,0.8531,0.5769,4.833,1.4555,0.8346,0.6377,4.2511,0.7927,0.8503,0.5941,4.9394,1.607,0.6969,0.6037,3.5712,1.2337,0.7615,0.6103,4.0947,1.0176,0.7381,0.6023,3.9873,1.3241,1,2,2,4,1.922114981,2.045819151,2.078339963,2.496016426,4.841163939,5.32447174,5.324394971,8.104994529,1.4448,0.6
-0.208517118,-0.088165945,4.64392997,34.98,231.69,-7.688641374,2.1411,14.12128008,0.8972,0.5021,5.0821,1.977,0.8902,0.6281,5.4268,1.121,0.923,0.491,5.2112,2.1204,0.8077,0.526,4.5122,1.7771,0.8332,0.6025,5.0195,1.1498,0.7963,0.5508,4.2224,1.8093,1,2,3,2,1.918755065,2.012951564,2.077973532,2.097546662,4.840750558,5.324431018,5.744900841,5.324529117,1.4448,0.86
-0.207990269,-0.090797928,28.06062948,5.7,17.94,-12.60356958,2.47945,14.12127717,0.9898,0.164,5.8335,4.1854,0.9586,0.3218,5.3351,3.4421,0.9697,0.3305,5.4763,3.3105,0.9751,0.1741,5.7158,4.0949,0.8963,0.336,5.01,3.253,0.7091,0.5938,3.5409,0.7304,2,2,2,2,2.011238424,2.02512691,2.03091925,2.051585728,5.324701231,5.324695046,5.324563455,5.324450356,1.4448,0.88
-0.171220853,-0.043969043,3.2368525,0.02,0.24,-7.360626509,2.32141,14.12128353,0.891,0.5501,4.4598,2.0957,0.9166,0.5672,4.5642,1.4305,0.9091,0.1566,4.9256,4.4031,0.8466,0.5491,4.306,2.1135,0.8343,0.5681,4.2699,1.4065,0.7307,0.6693,3.673,1.0254,1,1,2,2,1.959176358,1.959176358,2.102028782,2.102028782,4.84041423,4.840414309,5.325590549,5.325590549,1.406,0.63
-0.216136019,-0.093357622,15.49456195,61.95,241.65,-8.445337754,1.85208,14.12127883,0.7787,0.6423,4.4101,1.7555,0.9235,0.4963,5.6465,4.1231,0.8371,0.5952,5.2402,1.6559,0.6511,0.6289,3.5411,2.0318,0.8191,0.5344,4.6569,3.6083,0.7115,0.6009,4.1901,0.3028,1,2,2,4,1.972809418,1.975393885,2.167038994,2.388777721,4.841275292,5.324433453,5.324922004,8.105007815,1.4448,0.25
-0.235616956,-0.105836881,16.39923495,797.03,119.29,-8.099470186,2.10281,14.12128045,0.8427,0.6038,4.6375,2.2363,0.8302,0.6363,4.6262,1.9304,0.8817,0.5517,4.8647,2.6047,0.7394,0.6114,4.1897,2.1397,0.8001,0.6295,4.4016,2.0319,0.7523,0.5782,3.898,2.1381,2,1,2,4,1.921590227,2.018833822,2.195051252,2.366087488,5.324636022,4.840925553,5.325029694,8.105000995,1.4448,0.05
-0.221536885,-0.094715031,16.99352459,112.28,42.14,-11.71381841,2.12956,14.12127862,0.9115,0.4676,5.7442,4.2506,0.9207,0.618,5.4856,2.8877,0.8348,0.604,4.7631,2.2855,0.7243,0.5733,3.8326,3.4052,0.8748,0.5162,5.6628,3.801,0.7815,0.5933,4.414,2.0603,2,1,2,4,1.973869803,2.00612213,2.18906761,2.385948449,5.324483137,4.840839126,5.325008712,8.105005151,1.4448,0.1
-0.194131954,-0.073554635,6.02056454,50.42,143.61,-8.13499671,2.26594,14.12128104,0.9372,0.4698,5.4083,3.8147,0.9791,0.3391,5.6846,4.1783,0.9382,0.4604,5.5116,3.7924,0.8689,0.4667,4.9581,3.8393,0.7339,0.6225,3.4321,1.7725,0.9235,0.366,5.1939,3.7931,1,1,2,2,1.976827003,1.989092758,2.186378284,2.227202056,4.840191635,4.840528433,5.324826621,5.32615814,1.406,1
-0.221571248,-0.10597697,9.86979539,95.81,244.91,-7.088438179,1.86308,14.12128052,0.8404,0.5184,4.2222,2.1525,0.8251,0.5524,3.9187,1.874,0.9581,0.2594,4.5215,3.3697,0.7804,0.5257,3.9553,2.1342,0.7629,0.7394,3.8212,0.7205,0.7883,0.4584,3.8029,2.4406,1,2,3,2,1.973967832,2.027089786,2.065739577,2.088702947,4.841094672,5.324659642,5.745185324,5.324764001,1.4448,0.47
-0.201997675,-0.094835775,13.06221445,4.66,228.78,-6.757612621,1.90282,14.12127485,0.9635,0.4066,5.0023,3.075,0.9658,0.4061,5.4121,3.1328,0.9001,0.557,4.9123,2.2838,0.9311,0.4084,4.7703,3.0552,0.9258,0.417,4.9558,3.0738,0.7476,0.6228,3.9136,1.746,2,2,3,3,2.000617155,2.000617155,2.007933764,2.007933764,5.324519912,5.324520155,5.745057231,5.745057167,1.4969,0.34
-0.209850279,-0.081128116,4.98917458,3.79,34.04,-9.971766393,2.25826,14.12128026,0.9526,0.4735,5.3411,3.803,0.9688,0.4087,6.2749,4.5834,0.7991,0.6448,4.078,1.2894,0.7432,0.5451,4.0297,2.6615,0.8232,0.5449,4.3482,2.494,0.8821,0.5066,5.376,3.0074,1,2,2,3,1.925699094,2.000727368,2.095523562,2.184918076,4.841202006,5.324323652,5.32471959,5.744967059,1.4448,0.93
-0.226724675,-0.104955856,10.96384484,119.08,174.22,-7.570761303,1.79676,14.12128076,0.8258,0.7733,4.251,0.7498,0.8965,0.5074,5.4038,2.1334,0.8779,0.607,5.2184,0.7244,0.7381,0.7682,3.6935,0.8309,0.745,0.6948,3.8244,1.0747,0.802,0.6181,4.436,2.4008,1,2,2,4,1.916051148,2.033141904,2.068741163,2.51007968,4.841195372,5.32474686,5.324603879,8.10499863,1.4448,0.07
-0.227318252,-0.105530565,18.22254779,652.67,27.79,-8.646163573,2.03866,14.12128001,0.8527,0.4984,5.0862,3.013,0.8558,0.6265,5.9814,2.0701,0.8084,0.3074,4.6749,4.0979,0.7632,0.6321,5.058,2.2331,0.815,0.4937,4.7947,3.2237,0.7712,0.5633,4.4643,1.0233,2,1,2,4,1.935924844,2.016905798,2.184717373,2.371270967,5.324548454,4.840929819,5.325015576,8.105000439,1.4448,0.07
-0.217741422,-0.099852075,8.04374548,0.02,0.1,-6.371261908,1.97286,14.12127626,0.8751,0.5652,4.7847,0.9205,0.8333,0.6655,4.8096,0.3639,0.8841,0.6431,5.1289,1.4211,0.7861,0.5751,4.1833,0.9298,0.7173,0.662,3.8506,0.6908,0.772,0.7256,4.2005,0.6605,2,2,3,3,1.984001008,1.984001008,2.012380928,2.012380928,5.324085401,5.324085401,5.744995977,5.744995945,1.4448,0.2
-0.206335032,-0.093927345,7.54907374,25.28,112.47,-7.479393042,1.83262,14.12127552,0.8799,0.5999,5.0247,1.1691,0.8711,0.627,5.3127,1.7561,0.8915,0.613,5.4041,2.3981,0.7779,0.6058,4.2015,1.1864,0.7549,0.6269,4.2048,1.2135,0.764,0.739,4.2861,0.5937,2,2,3,3,1.976211021,1.987684834,2.026845332,2.034475854,5.324042373,5.324036964,5.744381884,5.744742124,1.4448,0.06
-0.237533825,-0.093054393,6.72969178,42.79,195,-8.085735503,2.38872,14.12127968,0.7904,0.7109,3.8693,0.6206,0.8346,0.6079,4.2746,1.2683,0.7347,0.2964,3.3896,2.058,0.6861,0.7124,3.4687,0.6692,0.7305,0.6481,3.9382,0.4199,0.7593,0.6505,3.7986,0.6221,1,2,2,4,1.910602261,2.054125848,2.09651735,2.491473861,4.841369736,5.324758498,5.324708828,8.104995447,1.4448,0.63
-0.203538398,-0.090604057,11.6870172,66.76,228.46,-7.034112468,2.28372,14.121283,0.9726,0.3028,6.4221,5.2302,0.9563,0.3563,6.1922,4.7207,0.9548,0.3972,6.6879,5.333,0.9387,0.3138,6.0895,5.126,0.8872,0.3839,5.6862,4.392,0.7991,0.4605,5.0899,3.8242,1,1,2,2,1.97044056,1.982433605,2.14836077,2.153747664,4.84020792,4.840429721,5.325081831,5.325267381,1.4448,0.19
-0.20667167,-0.084082395,5.660845,6.03,159.44,-7.204007302,2.32792,14.12127957,0.9422,0.4526,5.3539,3.5252,0.921,0.4094,5.6602,4.0727,0.8604,0.5216,5.0168,1.9364,0.8709,0.4564,4.8463,3.3958,0.7272,0.5786,4.0876,1.1623,0.8209,0.4861,4.5278,2.091,1,2,2,3,1.92395712,2.019750727,2.111780292,2.14641981,4.841153513,5.324532722,5.324628961,5.74498267,1.4448,0.9
-0.200249962,-0.099958568,14.46500693,40.82,260.58,-6.584223554,1.78603,14.12128619,0.9616,0.3622,5.4593,4.1703,0.9495,0.4971,5.7438,4.0031,0.9578,0.3688,4.7939,3.3692,0.9321,0.3687,5.2099,4.1269,0.8316,0.4937,4.8711,3.8509,0.9014,0.4474,4.9766,3.721,1,1,2,2,1.944039351,2.015360514,2.087415148,2.134912879,4.840618522,4.840879417,5.324480264,5.325057783,1.4448,0.001
-0.195438739,-0.047440124,4.80592797,78.11,4.19,-11.54441613,2.32233,14.12128075,0.8688,0.6535,5.2574,1.8907,0.9346,0.3755,5.8441,4.2803,0.8602,0.6262,4.863,2.327,0.6592,0.6473,3.154,2.0145,0.6037,0.5884,3.4182,1.0412,0.7705,0.582,4.6342,2.2117,1,1,3,3,1.967842727,1.99804029,2.092005975,2.144312011,4.841714268,4.840765807,5.744964756,5.744812384,1.4906,0.58
-0.198230593,-0.076969331,15.920355,100.59,773.67,-8.238804166,1.90364,14.12128029,0.8244,0.5617,4.25,1.6406,0.8793,0.4792,4.8946,2.9359,0.5436,0.5304,3.1439,1.5706,0.7285,0.5628,3.6267,1.6304,0.7995,0.4949,4.422,2.7228,0.6824,0.6197,3.916,1.2709,1,1,3,3,1.953930654,1.979812617,2.114332282,2.118429843,4.841028797,4.841689245,5.744500016,5.74485487,1.4072,0.08
-0.196006667,-0.07220679,5.29316386,144.03,197.69,-9.23565818,2.15363,14.12128027,0.9009,0.4837,5.0964,3.708,0.9759,0.3492,5.5031,4.0464,0.9195,0.4122,5.5645,4.1276,0.7195,0.6457,3.5768,1.5841,0.7903,0.5859,4.4166,2.5203,0.8551,0.4265,4.7759,3.1442,1,1,2,2,1.989342856,1.99406018,2.191350725,2.282200035,4.840787535,4.84016689,5.324836262,5.325307776,1.406,0.78
-0.209032679,-0.087001257,1.20156092,97.66,131.62,-8.081522241,1.86197,14.12127984,0.8551,0.7065,4.2763,0.1787,0.8594,0.6736,4.3711,1.5327,0.9058,0.6647,4.745,1.8282,0.7006,0.7068,3.5165,0.2455,0.702,0.6923,3.5462,0.4063,0.7705,0.6601,3.8982,0.8409,1,2,2,1,2.050409959,2.058645428,2.079550432,2.09043273,4.841348731,5.324683505,5.324657207,4.841173969,1.4072,0.24
-0.227509587,-0.102201118,14.80902735,161.25,76.78,-8.466975475,2.16479,14.12127906,0.8926,0.5273,5.5163,4.0201,0.8719,0.663,4.8934,1.6071,0.9085,0.4972,5.6361,3.4819,0.7435,0.5633,4.3567,3.0911,0.8128,0.5976,4.7851,2.6813,0.7946,0.5777,4.5806,2.6616,2,1,2,4,1.970460099,2.002317407,2.173275178,2.390103136,5.324405736,4.840938271,5.324974341,8.105005737,1.4448,0.73
-0.213852594,-0.084626314,7.26681683,19.08,169.45,-8.457510189,2.28232,14.12128106,0.8605,0.5627,5.0013,2.6393,0.8993,0.4907,5.1972,2.9842,0.8697,0.2765,4.5667,3.432,0.7483,0.5846,4.1248,2.4403,0.8113,0.5094,4.5362,2.6904,0.7524,0.6518,4.3391,1.2985,1,1,2,2,1.938032249,2.048000244,2.062607331,2.100563972,4.841251048,4.843076155,5.324783527,5.324749246,1.4448,0.46
-0.245879355,-0.103680361,26.25980102,66.93,111.15,-8.603840998,2.35147,14.12127578,0.8506,0.5898,4.6216,1.268,0.9181,0.572,5.1068,1.6663,0.9218,0.4496,5.3157,2.2778,0.6913,0.5803,3.4946,1.1704,0.7645,0.5607,4.0757,1.0264,0.6151,0.6118,3.2076,2.3621,2,2,2,2,1.998330053,2.023137662,2.032018209,2.054733316,5.325046051,5.324900678,5.324588294,5.324473396,1.4448,0.6
-0.207142199,-0.084026449,7.94531258,9.54,168.59,-7.07333772,2.33562,14.12128025,0.942,0.4634,5.3672,3.3538,0.94,0.3733,5.8481,4.6506,0.8378,0.5473,4.6772,1.758,0.8696,0.468,4.8538,3.2254,0.7491,0.5716,4.0585,1.463,0.8363,0.4367,4.8182,3.6264,1,2,2,3,1.918267187,2.015611322,2.097381463,2.124511473,4.841193476,5.324503985,5.324734686,5.744828892,1.4448,0.82
-0.208591231,-0.060984669,5.48075003,107.12,244.18,-9.852794438,2.46955,14.12128141,0.6878,0.7625,4.0108,0.7279,0.9729,0.2597,6.1236,5.4068,0.8178,0.5851,4.8435,2.4047,0.6679,0.7946,3.742,0.5372,0.55,0.4334,3.0849,4.0712,0.6909,0.5923,3.8003,2.3415,1,1,3,3,1.971335842,1.973867523,2.102321098,2.145605975,4.841412137,4.840882419,5.745313146,5.745300611,1.4906,0.9
-0.187291033,-0.053380132,7.00901717,203.12,105.87,-8.396303874,2.45064,14.12128301,0.92,0.371,5.11,3.8349,0.8815,0.6237,4.9145,1.5454,0.9252,0.3966,5.1888,3.6407,0.7217,0.6132,3.5097,1.6589,0.895,0.4003,5.1319,3.5223,0.7536,0.5555,4.1065,2.148,1,1,2,2,1.943488101,1.989586892,2.128606352,2.137708352,4.840860457,4.84071682,5.325742438,5.325517321,1.406,0.63
-0.231900485,-0.088899537,8.61029524,28.18,182.93,-8.06834936,2.3035,14.1212798,0.7693,0.7143,3.7125,0.4955,0.8705,0.5266,4.4835,2.2157,0.7987,0.6598,3.9262,0.3051,0.6848,0.718,3.4223,0.5959,0.7858,0.5276,4.1242,2.1932,0.7534,0.6648,3.7409,0.5326,1,2,2,4,1.912659405,2.054805587,2.083791256,2.490590492,4.84124402,5.324760008,5.324693098,8.104995402,1.4448,0.52
-0.200364762,-0.052329628,13.19867611,75.59,86.77,-7.538867069,2.63615,14.1212824,0.8741,0.7398,5.1711,0.6824,0.8581,0.628,4.9859,1.4305,0.8631,0.6381,4.8999,0.4665,0.7149,0.7246,4.0796,0.6934,0.7827,0.6423,4.3546,0.4524,0.7949,0.6408,4.4662,0.5204,1,1,2,2,1.976535606,1.98736031,2.160698267,2.172837776,4.840256537,4.840427271,5.325280473,5.324549769,1.4448,0.8
-0.204614474,-0.065691001,1.48586623,11.02,295.85,-10.23477326,2.25841,14.12127756,0.7755,0.6571,3.6381,1.0934,0.8228,0.2852,3.5017,2.4286,0.8772,0.5616,4.5038,2.3213,0.6969,0.6635,3.4574,1.0592,0.7851,0.5708,3.8679,2.5441,0.5561,0.5438,2.733,1.3775,1,2,3,3,1.970190346,2.009156291,2.057140005,2.145575214,4.841203822,5.324799499,5.745206304,5.745407858,1.406,0.22
-0.202036235,-0.062122862,12.46759484,13.4,76.45,-6.947120003,2.64024,14.12128376,0.9505,0.5286,5.227,2.7909,0.8853,0.6,4.6325,1.7217,0.9122,0.6031,4.9706,1.7023,0.7596,0.5746,4.2739,2.2395,0.8477,0.5823,4.4786,1.9964,0.8113,0.5549,4.3489,1.9525,1,1,1,2,2.000340971,2.014922579,2.084286209,2.172843759,4.840411385,4.840341038,4.8417696,5.324876821,1.4448,0.78
-0.221893472,-0.087020905,7.04012599,5.4,16.81,-8.07411122,2.4522,14.12128121,0.8667,0.5758,5.3161,2.5145,0.9361,0.3024,5.9663,4.5035,0.8041,0.2916,4.3382,2.0148,0.7191,0.6021,4.4743,1.6317,0.8509,0.3505,5.0896,3.887,0.6561,0.7158,3.4995,0.1256,1,1,2,2,1.952921913,2.009340688,2.082189713,2.082189713,4.841356233,4.843174054,5.324740091,5.324741017,1.4448,0.3
-0.215555209,-0.093328365,16.41261664,72.25,193.78,-8.515694315,2.04201,14.1212795,0.8197,0.633,5.3027,2.722,0.9258,0.4908,6.4873,5.1571,0.9031,0.5286,6.6423,3.4942,0.7436,0.6145,4.5532,3.0077,0.8296,0.521,5.5344,4.5028,0.732,0.5986,4.3859,0.6032,2,1,2,4,1.963586769,1.987529874,2.178510041,2.396812258,5.324465261,4.840961022,5.324972394,8.105005314,1.4448,0.73
-0.202821551,-0.061981552,10.01973998,19.46,101.72,-7.14233902,2.64304,14.12128254,0.9478,0.5359,5.3023,2.833,0.8868,0.5737,4.8032,1.9231,0.8815,0.673,5.1481,1.724,0.7427,0.5875,4.2404,2.2318,0.844,0.5901,4.5036,2.0958,0.8474,0.5878,4.7617,1.9712,1,1,2,2,1.974985823,1.985954682,2.157759486,2.173199715,4.840255747,4.840398739,5.325270009,5.32481844,1.4448,0.71
-0.177223805,-0.043881126,9.76997107,36.97,105.76,-9.377576291,2.50181,14.12128081,0.9868,0.3993,6.1863,3.469,0.9592,0.4328,5.7915,3.202,0.9721,0.3703,6.1755,3.9644,0.755,0.5041,4.5696,2.5801,0.9201,0.4191,5.8111,3.3295,0.9233,0.507,5.5539,2.8097,1,1,2,2,1.987471509,2.004688504,2.178842583,2.187365082,4.84028792,4.840274798,5.324777538,5.32484785,1.406,0.26
-0.239796916,-0.093639535,24.67583557,71.13,98.81,-7.769557826,2.42307,14.1212766,0.8321,0.6519,4.1896,0.6923,0.915,0.4306,5.0227,2.2976,0.9352,0.5095,5.1128,1.4321,0.6871,0.6371,3.4216,0.9533,0.7173,0.4933,3.6628,1.4597,0.6339,0.6625,3.296,1.5528,2,2,2,2,2.010891345,2.019924751,2.024545875,2.05042776,5.324881982,5.324742331,5.324584446,5.324446264,1.4448,0.67
-0.210260253,-0.063436734,12.80502413,42.5,245.53,-6.515713191,2.62942,14.1212849,0.8357,0.5155,4.0995,2.5043,0.9392,0.5321,5.0391,2.2944,0.8893,0.5302,4.518,2.283,0.7083,0.5219,3.4296,2.4532,0.7979,0.5261,4.1901,2.7485,0.7711,0.5464,3.8427,1.8834,1,1,1,2,1.949433251,2.045835282,2.052791758,2.16900461,4.840446635,4.840457305,4.841925081,5.324953066,1.4448,0.07
-0.210534594,-0.089402428,5.15274368,51.28,28.28,-7.863566769,2.13239,14.12128036,0.9706,0.4206,6.4475,5.108,0.9359,0.5736,6.0233,3.4933,0.9101,0.4754,5.6169,3.8636,0.744,0.544,3.9392,3.8546,0.8617,0.524,5.2746,2.8671,0.7451,0.5634,4.3841,2.4638,1,2,2,3,1.91838187,2.013822981,2.084522247,2.138929639,4.841168598,5.324319171,5.32471808,5.744712079,1.4448,0.74
-0.240501786,-0.096840284,4.68133509,50.99,213.73,-8.621443213,2.39982,14.1212792,0.8002,0.6461,3.7825,0.8453,0.846,0.5512,4.1212,1.6491,0.8082,0.7007,3.8863,0.4097,0.6955,0.653,3.4074,0.8519,0.7498,0.692,3.6677,0.6153,0.7737,0.5747,3.8347,1.2774,1,2,2,4,1.913021171,2.049353557,2.096145272,2.480072781,4.841247494,5.324832074,5.324814837,8.104993707,1.4448,0.32
-0.20239907,-0.058866058,10.58289681,20.54,91.29,-7.782184557,2.63634,14.12128248,0.9321,0.6085,5.322,2.2959,0.872,0.6024,4.8327,1.4562,0.8792,0.641,5.135,2.1361,0.7307,0.6137,4.1766,2.0882,0.8334,0.6097,4.5196,1.791,0.8367,0.6185,4.7489,1.7174,1,1,2,2,1.975264539,1.987008304,2.160145828,2.170830947,4.8402646,4.840411306,5.325272491,5.324752363,1.4448,0.89
-0.196846785,-0.081335792,12.13977036,148.62,180.35,-7.363146196,2.44869,14.12128192,0.9847,0.2253,6.8487,5.8922,0.9339,0.3906,5.5344,3.9888,0.956,0.4055,5.8093,4.1491,0.9544,0.2443,6.5737,5.6889,0.8852,0.3899,5.0413,4.0145,0.8242,0.4953,4.9403,2.8315,1,1,2,2,2.001067965,2.00439567,2.100101426,2.183435367,4.840311081,4.840247446,5.324744425,5.324861386,1.4448,0.17
-0.209963725,-0.099951975,15.50931492,4.35,293.73,-7.072040473,2.00726,14.12127585,0.9263,0.414,5.1488,3.1442,0.9486,0.3932,5.5119,3.2747,0.8642,0.5425,4.7886,2.8499,0.8896,0.4195,4.9026,3.1073,0.8808,0.4116,5.0188,3.1361,0.7012,0.5958,3.836,1.8001,2,2,3,3,1.987800292,1.989349642,2.005288508,2.006715226,5.324341483,5.324360676,5.744175161,5.744745579,1.4448,0.1
-0.215333754,-0.091370858,14.62665425,58.2,184.89,-9.743070831,2.0405,14.1212795,0.8057,0.6611,5.0643,2.3595,0.9302,0.4635,6.5891,5.3774,0.9289,0.5032,6.9665,4.3304,0.7359,0.6461,4.4036,2.6259,0.8243,0.4937,5.5011,4.7893,0.7135,0.5655,3.9838,1.6622,2,1,2,4,1.966445016,1.988354848,2.175889933,2.395508088,5.324508466,4.84096276,5.324946834,8.105005812,1.4448,0.35
-0.213517095,-0.081379927,6.53464234,0.13,0.21,-9.126918764,2.47012,14.12128141,0.8817,0.5209,5.2036,2.5953,0.9236,0.3407,5.6815,4.0746,0.8106,0.5856,4.1912,1.2162,0.7807,0.5428,4.6316,2.315,0.8333,0.3799,4.7887,3.5589,0.648,0.7374,3.5107,0.333,1,1,2,2,1.949000257,2.013000248,2.077396688,2.07757551,4.841278451,4.843082697,5.324778366,5.324777051,1.4448,0.52
-0.209363375,-0.093290266,2.82493518,22.8,61.69,-9.024691025,1.79576,14.1212855,0.8258,0.6064,4.1341,0.3208,0.9003,0.6478,4.7488,1.3105,0.8891,0.3647,5.2225,4.4614,0.7308,0.6124,3.7192,0.3406,0.6593,0.725,3.4141,0.5371,0.8553,0.6937,4.5101,0.7584,1,2,1,1,1.912013075,2.0300633,2.047478693,2.081238574,4.844262517,5.324504813,4.841267948,4.841111653,1.4448,0.16
-0.187216047,-0.085460467,3.40377515,6.48,73.95,-8.514696311,2.05132,14.12128102,0.9577,0.3067,7.4558,6.646,0.9733,0.2873,7.8488,6.7605,0.89,0.2161,4.6893,3.684,0.9096,0.319,6.8634,6.4298,0.9565,0.3001,7.6755,6.539,0.6782,0.6318,3.8866,1.8451,1,1,2,2,1.96226196,2.029072941,2.060416463,2.088384064,4.84134731,4.842785948,5.324820096,5.324778025,1.4448,0.08
