Structure,HOMO,LUMO,dipolemoment,H_T1_S1,H_T1_S0,f,emission_energy,density_Pt,CT_S1,R_EH _S1a,LAMBDA_S1,R_EH _S1b,CT_S2,R_EH _S2a,LAMBDA_S2,R_EH _S2b,CT_S3,R_EH _S3a,LAMBDA_S3,R_EH _S3b,CT_T1,R_EH _T1a,LAMBDA_T1,R_EH _T1b,CT_T2,R_EH _T2a,LAMBDA_T2,R_EH _T2b,CT_T3,R_EH _T3a,LAMBDA_T3,R_EH _T3b,coor_bond_type (1),coor_bond_type (2),coor_bond_type (3),coor_bond_type (4),coor_bond_length (1),coor_bond_length (2),coor_bond_length (3),coor_bond_length (4),density_coor (1),density_coor (2),density_coor (3),density_coor (4),Calc_Kr,Calc_lambda,refractive_index,Quantum Yield,Exp. Kr,lambda,Exp. lifetime,,Refer,,
45,-0.213996934,-0.104757291,14.75785379,52.95,55.92,0.0002059,1.98368,1357677.551,0.9098,0.4681,6.3509,4.8644,0.8622,0.4796,4.7388,2.7923,0.9533,0.3577,6.6958,5.4134,0.8523,0.4767,5.8972,4.6069,0.8193,0.4857,4.4792,2.7297,0.7023,0.5779,4.2711,1.7631,1,2,1,2,1.923189538,1.989344113,2.027656036,2.176341885,126.81563,205.35158,126.58201,205.41948,69953.54498,625.1008227,1.4448,0.07,87500,597,0.8,,"J. Am. Chem. Soc. 2004, 126, 4958",,
46,-0.214306806,-0.10570902,12.93049992,51.17,51.45,0.000203,1.97358,1357677.611,0.9097,0.4698,6.4531,4.9741,0.8623,0.4741,4.7866,2.8164,0.9558,0.348,6.8055,5.5194,0.8525,0.48,5.9927,4.7248,0.8205,0.4819,4.5264,2.7353,0.7147,0.595,4.5021,1.6703,1,2,1,2,1.922395641,1.990273599,2.027373917,2.177689142,126.816,205.35093,126.58162,205.4208,67327.49209,628.2998409,1.4448,0.08,114285.7143,603,0.7,,"J. Am. Chem. Soc. 2004, 126, 4958",,
47,-0.213665761,-0.103368475,15.40133793,57.12,72.25,0.0002546,2.01049,1357677.519,0.9127,0.456,6.1759,4.6523,0.8864,0.2516,5.1048,4.0024,0.8634,0.4878,4.6765,2.8403,0.8579,0.465,5.7725,4.443,0.8175,0.4942,4.4069,2.7612,0.8762,0.252,5.0393,3.9891,1,2,1,2,1.92115408,1.994072717,2.02789053,2.17106057,126.81537,205.34697,126.5819,205.42282,82913.84724,616.7650672,1.4448,0.09,112500,597,0.8,,"J. Am. Chem. Soc. 2004, 126, 4958",,
48,-0.213185506,-0.102657022,16.72642817,57.31,74.68,0.0002644,2.01288,1357677.496,0.9131,0.4625,6.16,4.3779,0.8875,0.258,5.0971,3.9669,0.8649,0.4982,4.692,2.841,0.8571,0.4704,5.7538,4.1666,0.8178,0.5021,4.4164,2.7895,0.8772,0.2599,5.0329,3.9385,1,2,1,2,1.923331225,1.993113394,2.02826872,2.170845688,126.81556,205.3432,126.58225,205.42278,84325.7341,616.0327491,1.4448,0.09,90000,594,1,,"J. Am. Chem. Soc. 2004, 126, 4958",,
49,-0.215371121,-0.096039053,11.6299961,32.1,208.71,0.0003489,1.81621,1357675.822,0.8333,0.6079,4.2518,2.0724,0.9103,0.463,5.6386,4.0804,0.8413,0.6957,4.5641,1.5554,0.6813,0.6274,3.5266,1.9158,0.8143,0.6944,4.1592,1.5608,0.8549,0.4657,5.2674,3.991,1,1,2,2,1.969415395,1.976731899,2.01787066,2.17039812,126.62513,126.80294,205.33768,205.40728,62667.14675,682.740432,1.4448,0.05,50000,615,1,,"J. Am. Chem. Soc. 2004, 126, 4958",,
50,-0.215080207,-0.095046853,11.08598511,40.14,214.95,0.0002658,1.82223,1357675.68,0.8316,0.6053,4.2029,2.0003,0.9202,0.4001,6.0021,4.5278,0.8654,0.4991,4.474,2.5274,0.6776,0.6154,3.4729,1.8871,0.8169,0.6673,4.167,1.6584,0.8819,0.4094,5.6685,4.3444,1,1,2,2,1.969709623,1.978067997,2.019729932,2.173254242,126.62589,126.80015,205.33908,205.41083,58493.74857,680.4849004,1.4448,0.04,44444.44444,616,0.9,,"J. Am. Chem. Soc. 2004, 126, 4958",,
51,-0.216950039,-0.098265903,14.16272141,35.78,186.79,0.0002936,1.80369,1357676.263,0.8328,0.5972,4.2785,2.1089,0.8961,0.4866,5.419,3.7234,0.8327,0.7044,4.4183,1.5671,0.682,0.6184,3.5498,1.9751,0.8101,0.7017,4.1489,1.5912,0.8283,0.4818,5.0386,3.6803,1,1,2,2,1.96844939,1.971073312,2.016573331,2.163663791,126.83374,126.62436,205.33264,205.40034,53840.37864,687.4795558,1.4448,0.04,36363.63636,616,1.1,,"J. Am. Chem. Soc. 2004, 126, 4958",,
52,-0.208644559,-0.098210174,15.18480681,10.7,6.74,0.0002255,2.07626,1357677.251,0.918,0.4354,6.7111,5.1958,0.8877,0.2271,5.4182,4.2394,0.9571,0.3402,6.3903,4.5945,0.854,0.4451,6.133,4.8481,0.7853,0.5101,4.623,2.6359,0.8676,0.4161,5.5423,3.729,1,2,1,2,1.924149163,1.991097436,2.02636892,2.178057391,126.81117,205.34607,126.58153,205.40678,79884.75098,597.2277075,1.4448,0.27,77142.85714,573,3.5,,"Angew. Chem. Int. Ed. 2015, 54, 2084",,
53,-0.221703564,-0.100455359,18.6856941,3.6,9.76,0.0002882,2.24375,1357677.607,0.8953,0.5069,6.3092,4.3712,0.8626,0.4758,5.0265,3.0509,0.8698,0.2505,5.27,3.9977,0.8062,0.5188,5.5714,3.8407,0.7844,0.5157,4.5442,2.5447,0.7466,0.5645,4.4321,2.1239,1,2,1,2,1.925454232,1.97796006,2.025607069,2.176206332,126.84863,205.34214,126.58083,205.39788,97192.75229,552.6462396,1.4448,0.99,180000,521,5.5,,"Angew. Chem. Int. Ed. 2015, 54, 2084",,
54,-0.21597712,-0.094839157,15.8383216,27.84,159.36,0.000395,1.82999,1357675.49,0.8186,0.6288,4.595,1.743,0.9065,0.4854,5.6801,2.881,0.9224,0.4906,5.982,2.8107,0.6665,0.6182,3.6358,2.0215,0.8304,0.5216,4.6909,3.6801,0.8143,0.5056,5.3265,3.321,1,1,2,2,1.966424674,1.975964575,2.02010569,2.16356858,126.83484,126.62324,205.31916,205.38522,68146.99073,677.5993311,1.4448,0.66,75862.06897,591,8.7,,"Angew. Chem. Int. Ed. 2015, 54, 2084",,
55,-0.231390442,-0.089423879,9.68181763,47.47,193.97,0.0004165,2.32794,1357668.858,0.7938,0.688,3.7972,0.8683,0.8472,0.5629,4.2543,1.95,0.8101,0.6981,3.9806,0.4285,0.6927,0.6931,3.4213,0.9138,0.7562,0.7168,3.7904,1.0161,0.7695,0.5677,3.8988,1.9425,1,2,2,4,1.912066944,2.053768487,2.092800038,2.493001805,126.62503,205.36253,205.35056,3310.95948,125774.3841,532.6597765,1.4448,0.6,83333.33333,491,7.2,,"Inorg. Chem. 2003, 42, 8609",,
56,-0.237676255,-0.092869345,7.94948612,60.6,193.59,0.0003694,2.39399,1357668.754,0.7948,0.6993,3.8647,0.7073,0.8336,0.6034,4.2605,1.3623,0.7513,0.2861,3.374,2.0328,0.6873,0.7022,3.446,0.7633,0.7463,0.6934,3.9402,0.7044,0.7522,0.611,3.7864,1.474,1,2,2,4,1.911626794,2.053440284,2.096805666,2.49426422,126.63944,205.36036,205.34859,3310.9672,127272.8663,517.9637342,1.4448,0.58,72500,481,8,,"Inorg. Chem. 2003, 42, 8609",,
57,-0.225602398,-0.087857397,10.34473927,14.63,190.59,0.0004605,2.24735,1357668.763,0.7978,0.6914,3.8524,0.9035,0.8576,0.5496,4.3004,2.152,0.7806,0.2844,3.3746,2.0212,0.705,0.6959,3.4984,0.9251,0.7784,0.5545,3.8938,2.1349,0.755,0.7241,3.8568,1.0928,1,2,2,4,1.908006551,2.057140248,2.095740919,2.492205449,126.62044,205.35891,205.35174,3310.95674,124622.8264,551.7609629,1.4448,0.68,87179.48718,505,7.8,,"Inorg. Chem. 2003, 42, 8609",,
58,-0.228907232,-0.092249813,7.26101993,12.75,196.23,0.0003418,2.24153,1357668.749,0.8102,0.6826,3.8704,0.9626,0.8451,0.5757,4.2094,1.9595,0.8096,0.7211,3.9348,0.5523,0.7163,0.6875,3.5121,0.9648,0.7585,0.5947,3.7647,1.6134,0.7597,0.732,3.8761,0.812,1,2,2,4,1.905051443,2.05741221,2.097238661,2.484024356,126.61182,205.35896,205.35105,3310.95974,94530.60247,553.1935776,1.4448,0.39,55714.28571,504,7,,"Inorg. Chem. 2010, 49, 11276",,
59,-0.231900485,-0.088899537,8.61029524,28.18,182.93,0.0003133,2.3035,1357668.974,0.7693,0.7143,3.7125,0.4955,0.8705,0.5266,4.4835,2.2157,0.7987,0.6598,3.9262,0.3051,0.6848,0.718,3.4223,0.5959,0.7858,0.5276,4.1242,2.1932,0.7534,0.6648,3.7409,0.5326,1,2,2,4,1.912659405,2.054805587,2.083791256,2.490590492,126.62678,205.35907,205.34533,3310.96644,92983.15641,538.3112655,1.4448,0.52,80000,481,6.5,,"Inorg. Chem. 2010, 49, 11276",,
60,-0.237736713,-0.089911311,7.35139859,32.11,196.27,0.0003147,2.44091,1357668.901,0.7701,0.7106,3.7221,0.6118,0.8633,0.5695,4.44,0.636,0.8103,0.6122,3.9741,0.6529,0.6787,0.7084,3.3824,0.6732,0.7677,0.6303,3.9826,0.946,0.7082,0.655,3.4924,1.4423,1,2,2,4,1.917075377,2.046965559,2.088131222,2.485290526,126.62056,205.35991,205.34463,3310.97282,119675.4642,508.0072596,1.4448,0.6,103448.2759,471,5.8,,"Inorg. Chem. 2010, 49, 11276",,
61,-0.235680693,-0.092206413,5.00775759,25.61,196.59,0.0003572,2.37439,1357668.805,0.7906,0.6897,3.8319,0.9805,0.8624,0.5417,4.3563,2.1353,0.8,0.6847,3.9682,0.5756,0.6927,0.6933,3.4547,1.0147,0.7681,0.5561,3.9032,1.9844,0.7657,0.6941,3.8513,0.966,1,2,2,4,1.911190728,2.051449488,2.091186266,2.478545541,126.60816,205.35728,205.34615,3310.97442,123154.8627,522.2393962,1.4448,0.46,58974.35897,517,7.8,,"Inorg. Chem. 2010, 49, 11276",,
62,-0.240982095,-0.097258731,2.23184222,63.95,193.64,0.0003577,2.39014,1357668.856,0.8087,0.688,3.955,0.7368,0.8247,0.6151,4.2327,1.3897,0.7984,0.6892,3.9914,0.2645,0.6937,0.6943,3.4932,0.766,0.7499,0.7303,3.9125,1.0208,0.748,0.6015,3.8612,1.7308,1,2,2,4,1.91116352,2.056603997,2.090884263,2.48335519,126.63624,205.36535,205.34946,3310.96872,122890.4431,518.798062,1.4448,0.58,120833.3333,481,4.8,,"Inorg. Chem. 2010, 49, 11276",,
63,-0.237533825,-0.093054393,6.72969178,42.79,195,0.0003079,2.38872,1357668.818,0.7904,0.7109,3.8693,0.6206,0.8346,0.6079,4.2746,1.2683,0.7347,0.2964,3.3896,2.058,0.6861,0.7124,3.4687,0.6692,0.7305,0.6481,3.9382,0.4199,0.7593,0.6505,3.7986,0.6221,1,2,2,4,1.910602261,2.054125848,2.09651735,2.491473861,126.6427,205.35876,205.34856,3310.96659,114843.2906,519.1064671,1.4448,0.63,96923.07692,485,6.5,,"Inorg. Chem. 2010, 49, 11276",,
64,-0.215401154,-0.08685111,10.61522747,14.74,179.15,0.0004343,2.12797,1357668.725,0.8398,0.6504,4.0836,1.6102,0.859,0.5844,4.2777,2.0048,0.8095,0.2703,3.4063,2.0537,0.7651,0.6541,3.7505,1.6011,0.7631,0.5896,3.8357,1.8667,0.735,0.7427,3.7192,1.0344,1,2,2,4,1.901490205,2.059114858,2.101314351,2.482193385,126.60489,205.35688,205.34975,3310.95362,99215.63778,582.7149819,1.4448,0.3,23076.92308,547,13,,"Inorg. Chem. 2010, 49, 11276",,
65,-0.240501786,-0.096840284,4.68133509,50.99,213.73,0.0001802,2.39982,1357668.158,0.8002,0.6461,3.7825,0.8453,0.846,0.5512,4.1212,1.6491,0.8082,0.7007,3.8863,0.4097,0.6955,0.653,3.4074,0.8519,0.7498,0.692,3.6677,0.6153,0.7737,0.5747,3.8347,1.2774,1,2,2,4,1.913021171,2.049353557,2.096145272,2.480072781,126.62722,205.37387,205.37033,3310.96083,90233.30348,516.7054196,1.4448,0.32,56140.35088,484,5.7,,"Inorg. Chem. 2010, 49, 11276",,
66,-0.224888043,-0.089938602,7.78369081,122.54,35.78,0.0001117,2.1585,1357667.556,0.9211,0.6633,5.1389,1.9691,0.8852,0.5481,5.2376,3.206,0.8708,0.6516,5.2034,1.8415,0.7134,0.6612,3.5798,2.3311,0.7205,0.7087,3.9742,0.6655,0.7507,0.5833,4.2278,2.562,1,2,2,4,1.922480949,2.077654928,2.078617329,2.491321135,126.61525,205.34221,205.34557,3310.95356,24061.08945,574.4730137,1.4448,0.2,5000,558,40,,"Inorg. Chem. 2010, 49, 11276",,
67,-0.226724675,-0.104955856,10.96384484,119.08,174.22,0.0005153,1.79676,1357670.278,0.8258,0.7733,4.251,0.7498,0.8965,0.5074,5.4038,2.1334,0.8779,0.607,5.2184,0.7244,0.7381,0.7682,3.6935,0.8309,0.745,0.6948,3.8244,1.0747,0.802,0.6181,4.436,2.4008,1,2,2,4,1.916051148,2.033141904,2.068741163,2.51007968,126.62062,205.35637,205.32701,3310.97713,75849.52348,690.1311249,1.4448,0.07,20571.42857,592,3.5,,"Inorg. Chem. 2010, 49, 11276",,
68,-0.228990848,-0.105561476,8.1647093,50.43,165.75,0.000299,1.80466,1357671.437,0.8111,0.7928,4.1959,0.1094,0.8995,0.4781,5.5197,2.0644,0.8887,0.5305,5.4369,2.3245,0.7321,0.7953,3.6498,0.1992,0.7232,0.6765,3.741,0.6135,0.8091,0.5437,4.589,1.915,1,2,2,4,1.92011484,2.019486321,2.051699783,2.507096528,126.60711,205.34632,205.31303,3310.99805,46372.96478,687.1100373,1.4448,0.1,22727.27273,594,4.4,,"Inorg. Chem. 2010, 49, 11276",,
69,-0.196545813,-0.08619921,8.51520844,0.74,176.37,0.0003818,2.28881,1357668.684,0.9868,0.1018,5.7922,4.607,0.9978,0.0527,6.5838,5.598,0.8425,0.5175,4.4069,0.5147,0.9852,0.1022,5.7803,4.603,0.9969,0.0536,6.5723,5.59,0.6738,0.6438,3.3824,0.1813,1,2,2,3,1.920407509,2.054182562,2.054182562,2.233068293,126.61519,205.35815,205.35813,312.52439,151110.6843,541.7662453,1.4448,0.34,113333.3333,471,3,,"Inorg. Chem. 2010, 49, 11276",,
70,-0.195215063,-0.099439386,12.81778385,24.22,159.52,0.0009238,1.95899,1357668.328,0.9896,0.1061,6.5577,5.8463,0.9928,0.0912,6.8536,6.0717,0.8385,0.6714,4.344,1.7767,0.9733,0.1292,6.4053,5.6466,0.7542,0.6238,4.0176,1.9756,0.9797,0.1177,6.7501,5.7315,1,2,2,3,1.921749463,2.045679594,2.079037758,2.235892216,126.62588,205.34459,205.33282,312.50691,190406.3616,632.9792393,1.4448,0.04,10294.11765,592,3.4,,"Inorg. Chem. 2010, 49, 11276",,
71,-0.197023222,-0.099775718,10.61775875,11.91,211.81,0.0006653,1.97777,1357668.571,0.9864,0.1081,6.3981,5.2031,0.9975,0.0745,6.899,5.662,0.8135,0.696,4.3239,0.4343,0.9823,0.1111,6.3617,5.1758,0.9857,0.0978,6.7852,5.4683,0.728,0.6921,3.7726,0.2886,1,2,2,3,1.921406256,2.050060975,2.058883435,2.234397682,126.62127,205.34272,205.33748,312.52694,215516.924,626.9687577,1.4448,0.05,11627.90698,610,4.3,,"Inorg. Chem. 2010, 49, 11276",,
72,-0.213517095,-0.081379927,6.53464234,0.13,0.21,0.0001087,2.47012,1357671.17,0.8817,0.5209,5.2036,2.5953,0.9236,0.3407,5.6815,4.0746,0.8106,0.5856,4.1912,1.2162,0.7807,0.5428,4.6316,2.315,0.8333,0.3799,4.7887,3.5589,0.648,0.7374,3.5107,0.333,1,1,2,2,1.949000257,2.013000248,2.077396688,2.07757551,126.63114,126.85982,205.36284,205.36257,29622.52537,501.9999028,1.4448,0.52,192592.5926,496,2.7,,"Angew. Chem. Int. Ed. 2009, 48, 9909",,
73,-0.213852594,-0.084626314,7.26681683,19.08,169.45,0.0002123,2.28232,1357670.686,0.8605,0.5627,5.0013,2.6393,0.8993,0.4907,5.1972,2.9842,0.8697,0.2765,4.5667,3.432,0.7483,0.5846,4.1248,2.4403,0.8113,0.5094,4.5362,2.6904,0.7524,0.6518,4.3391,1.2985,1,1,2,2,1.938032249,2.048000244,2.062607331,2.100563972,126.62767,126.85899,205.3639,205.35686,90799.81079,543.3068106,1.4448,0.46,143750,510,3.2,,"Angew. Chem. Int. Ed. 2009, 48, 9909",,
74,-0.215915618,-0.084994949,2.12837307,7.34,25.24,0.0004176,2.46993,1357671.227,0.8893,0.505,5.4067,3.1857,0.9459,0.2845,6.068,4.6731,0.8488,0.2717,4.461,2.6498,0.784,0.5272,4.8243,2.8855,0.8757,0.3257,5.3307,4.1862,0.6335,0.7355,3.3337,0.5443,1,1,2,2,1.952296084,2.005000998,2.078492001,2.078492001,126.64154,126.85372,205.36211,205.3617,150938.1272,502.0385193,1.4448,0.29,170588.2353,486,1.7,,"Angew. Chem. Int. Ed. 2009, 48, 9909",,
75,-0.214466544,-0.084988602,3.78353216,7.8,27,0.0004006,2.45469,1357671.149,0.8956,0.4909,5.5131,3.3887,0.9495,0.2741,6.194,4.843,0.8523,0.2708,4.4648,2.6747,0.7941,0.5125,4.9301,3.1179,0.8837,0.3139,5.4756,4.3703,0.6367,0.7372,3.3647,0.6319,1,1,2,2,1.952409793,2.006008973,2.078496091,2.078496091,126.64151,126.85214,205.36207,205.36208,146289.8765,505.1554371,1.4448,0.29,290000,486,1,,"Angew. Chem. Int. Ed. 2009, 48, 9909",,
76,-0.204272566,-0.084041469,1.72183093,4.15,21.18,0.0002832,2.32982,1357671.058,0.9203,0.4235,6.0894,4.5149,0.9664,0.276,6.8802,5.7042,0.8671,0.2545,4.5309,2.9936,0.84,0.439,5.5312,4.3186,0.9256,0.305,6.3427,5.34,0.6442,0.7035,3.4427,0.932,1,1,2,2,1.957687156,2.010579518,2.07261019,2.077734584,126.64148,126.83857,205.36582,205.36449,116818.9621,532.2299577,1.4448,0.47,276470.5882,512,1.7,,"Angew. Chem. Int. Ed. 2009, 48, 9909",,
77,-0.187216047,-0.085460467,3.40377515,6.48,73.95,0.0002005,2.05132,1357670.636,0.9577,0.3067,7.4558,6.646,0.9733,0.2873,7.8488,6.7605,0.89,0.2161,4.6893,3.684,0.9096,0.319,6.8634,6.4298,0.9565,0.3001,7.6755,6.539,0.6782,0.6318,3.8866,1.8451,1,1,2,2,1.96226196,2.029072941,2.060416463,2.088384064,126.63986,126.82218,205.37141,205.36277,50332.22022,604.488817,1.4448,0.08,20512.82051,480,3.9,,"Angew. Chem. Int. Ed. 2009, 48, 9909",,
78,-0.221893472,-0.087020905,7.04012599,5.4,16.81,0.0003115,2.4522,1357670.888,0.8667,0.5758,5.3161,2.5145,0.9361,0.3024,5.9663,4.5035,0.8041,0.2916,4.3382,2.0148,0.7191,0.6021,4.4743,1.6317,0.8509,0.3505,5.0896,3.887,0.6561,0.7158,3.4995,0.1256,1,1,2,2,1.952921913,2.009340688,2.082189713,2.082189713,126.64099,126.87141,205.35498,205.35517,88738.18952,505.6683794,1.4448,0.3,200000,484,1.5,,"Angew. Chem. Int. Ed. 2009, 48, 9909",,
79,-0.230846407,-0.116533334,13.10507658,19.82,7.44,5.26E-05,1.85311,1357670.116,0.8338,0.5889,6.3302,4.0985,0.7987,0.2742,5.4461,4.5933,0.919,0.341,5.934,4.3204,0.7495,0.5853,5.0164,4.5387,0.7733,0.2778,5.2948,4.3975,0.7288,0.5867,4.5786,0.2107,1,1,2,2,1.962949057,2.029414448,2.087891281,2.088060104,126.63696,126.89725,205.34668,205.34735,10672.52417,669.1453826,1.4448,0.07,12068.96552,480,5.8,,"Angew. Chem. Int. Ed. 2009, 48, 9909",,
80,-0.206382355,-0.091386278,1.65363244,28.42,60.28,9.87E-05,1.82598,1357677.066,0.8536,0.5831,4.8803,1.9622,0.934,0.536,6.5426,3.7583,0.9105,0.7199,5.6093,0.7331,0.7177,0.5807,3.8757,2.2243,0.7933,0.6576,4.7446,1.4035,0.8738,0.5965,5.7981,2.7804,1,2,1,1,1.908799099,2.025962734,2.058295654,2.0867894,127.01056,205.30968,126.63641,126.55729,28864.42647,679.0873942,1.4448,0.2,21739.13043,608,9.2,,"Chem. Eur. J. 2012,18, 96",,
81,-0.213154782,-0.092210442,1.44820173,22.44,55.43,0.0001004,1.8309,1357677.076,0.8229,0.6565,4.4213,0.577,0.93,0.4522,5.9491,4.3119,0.8864,0.6476,5.0996,2.4682,0.6905,0.65,3.6647,0.6389,0.7656,0.6493,4.3532,1.777,0.8643,0.4763,5.3135,3.8407,1,2,1,1,1.906992659,2.030271903,2.060660331,2.086256696,127.00963,205.31229,126.63609,126.58249,26224.35306,677.2625485,1.4448,0.26,16455.6962,589,15.8,,"Chem. Eur. J. 2012,18, 96",,
82,-0.209363375,-0.093290266,2.82493518,22.8,61.69,0.0001204,1.79576,1357676.716,0.8258,0.6064,4.1341,0.3208,0.9003,0.6478,4.7488,1.3105,0.8891,0.3647,5.2225,4.4614,0.7308,0.6124,3.7192,0.3406,0.6593,0.725,3.4141,0.5371,0.8553,0.6937,4.5101,0.7584,1,2,1,1,1.912013075,2.0300633,2.047478693,2.081238574,127.00958,205.30667,126.62981,126.61002,32833.42278,690.5154364,1.4448,0.16,12403.10078,619,12.9,,"Chem. Eur. J. 2012,18, 96",,
83,-0.23407811,-0.102507766,17.44411137,284.36,50.92,0.0002261,2.18489,1357667.847,0.8835,0.5535,5.1686,3.2082,0.8729,0.6496,4.8473,1.7769,0.8565,0.2309,4.5319,3.5391,0.7163,0.6005,4.0075,2.3653,0.8314,0.6056,4.7578,2.3649,0.7789,0.6108,4.3521,1.8586,2,1,2,4,1.96844812,2.008023406,2.185807631,2.38093175,205.30096,126.5909,205.40515,3310.99465,52412.7124,567.5342923,1.4448,0.78,103000,530,7.6,,Angew Chem Int Ed Engl. 2015;54(7):2084-2089,,
84,-0.221536885,-0.094715031,16.99352459,112.28,42.14,8.18E-06,2.12956,1357667.374,0.9115,0.4676,5.7442,4.2506,0.9207,0.618,5.4856,2.8877,0.8348,0.604,4.7631,2.2855,0.7243,0.5733,3.8326,3.4052,0.8748,0.5162,5.6628,3.801,0.7815,0.5933,4.414,2.0603,2,1,2,4,1.973869803,2.00612213,2.18906761,2.385948449,205.30222,126.57552,205.41015,3310.99872,2221.088161,582.2799076,1.4448,0.1,143000,561,0.7,,Angew Chem Int Ed Engl. 2015;54(7):2084-2089,,Angew Chem Int Ed Engl. 2015;54(7):2084-2089
85,-0.227644334,-0.115388278,16.54478997,158.97,282.24,0.0007476,1.75855,1357667.336,0.8793,0.5803,4.6794,2.6634,0.8748,0.4888,4.1812,2.3164,0.8937,0.4839,4.6336,2.0408,0.8109,0.5788,4.2241,2.5811,0.8184,0.4873,4.2864,2.028,0.8026,0.5082,4.16,2.1886,2,1,2,4,1.989380808,2.002195295,2.132965307,2.387050691,205.30879,126.59166,205.42676,3311.03561,109972.0257,705.1263825,1.4448,0.001,5000,624,0.2,,Angew Chem Int Ed Engl. 2015;54(7):2084-2089,,
86,-0.216136019,-0.093357622,15.49456195,61.95,241.65,0.0002149,1.85208,1357667.665,0.7787,0.6423,4.4101,1.7555,0.9235,0.4963,5.6465,4.1231,0.8371,0.5952,5.2402,1.6559,0.6511,0.6289,3.5411,2.0318,0.8191,0.5344,4.6569,3.6083,0.7115,0.6009,4.1901,0.3028,1,2,2,4,1.972809418,1.975393885,2.167038994,2.388777721,126.63074,205.29202,205.39234,3311.00754,42543.66897,669.5175154,1.4448,0.25,24800,588,10.1,,Angew Chem Int Ed Engl. 2015;54(7):2084-2089,,
87,-0.208480675,-0.096801022,15.73827553,36.53,230.69,7.49E-05,1.66142,1357667.26,0.8066,0.6605,4.7996,2.2205,0.9356,0.4547,6.1137,4.7584,0.8985,0.5575,6.091,3.6993,0.6968,0.6478,3.9552,2.4127,0.8594,0.4903,5.2158,4.4388,0.7113,0.6093,4.2605,0.3111,2,1,2,4,1.979340547,1.981893539,2.163956793,2.395543362,205.29448,126.6124,205.39083,3311.02764,20442.00876,746.3495083,1.4448,0.033,7330,644,4.5,,Angew Chem Int Ed Engl. 2015;54(7):2084-2089,,
88,-0.207627126,-0.084494306,7.22094334,7.6,148.23,0.000791,2.34427,1357669.776,0.9425,0.451,5.347,3.483,0.9535,0.3454,6.0587,4.9675,0.8257,0.5471,4.5099,1.476,0.8703,0.4557,4.8386,3.3765,0.799,0.4686,4.7043,2.6376,0.7858,0.5402,4.329,0.9093,1,2,2,3,1.921485363,2.014350764,2.092038958,2.138318031,126.62043,205.3095,205.35242,312.59473,231357.7567,528.9493104,1.4448,0.73,155000,503,4.7,,"Chem. Sci., 2014,5, 4819-4830",,
89,-0.207142199,-0.084026449,7.94531258,9.54,168.59,0.0008474,2.33562,1357669.582,0.942,0.4634,5.3672,3.3538,0.94,0.3733,5.8481,4.6506,0.8378,0.5473,4.6772,1.758,0.8696,0.468,4.8538,3.2254,0.7491,0.5716,4.0585,1.463,0.8363,0.4367,4.8182,3.6264,1,2,2,3,1.918267187,2.015611322,2.097381463,2.124511473,126.62038,205.3065,205.35387,312.57014,263638.5318,530.9082813,1.4448,0.82,222000,518,3.7,,"Chem. Sci., 2014,5, 4819-4830",,
90,-0.20667167,-0.084082395,5.660845,6.03,159.44,0.0007436,2.32792,1357668.66,0.9422,0.4526,5.3539,3.5252,0.921,0.4094,5.6602,4.0727,0.8604,0.5216,5.0168,1.9364,0.8709,0.4564,4.8463,3.3958,0.7272,0.5786,4.0876,1.1623,0.8209,0.4861,4.5278,2.091,1,2,2,3,1.92395712,2.019750727,2.111780292,2.14641981,126.61532,205.3124,205.33216,312.61821,211441.4289,532.6643527,1.4448,0.9,184000,522,4.9,,"Chem. Sci., 2014,5, 4819-4830",,
91,-0.207240181,-0.084141715,7.68137953,6.58,161.14,0.0008126,2.34264,1357669.42,0.943,0.4476,5.3547,3.5238,0.937,0.3819,5.8845,4.6066,0.8388,0.5416,4.7196,1.5154,0.8712,0.4515,4.8445,3.4066,0.732,0.5757,4.1233,0.9247,0.8335,0.4644,4.6627,2.6297,1,2,2,3,1.923239195,2.014567199,2.092735053,2.135042388,126.62092,205.31018,205.34368,312.55927,227711.0062,529.3173514,1.4448,0.77,193000,522,4,,"Chem. Sci., 2014,5, 4819-4830",,
92,-0.206756727,-0.083662277,8.32372646,7.52,181.08,0.0008777,2.33204,1357669.299,0.9415,0.4617,5.3678,3.402,0.9317,0.3893,5.7849,4.4581,0.8463,0.5406,4.8183,1.872,0.8689,0.4662,4.8528,3.2635,0.7519,0.5676,4.0743,1.5766,0.829,0.4528,4.7924,3.4314,1,2,2,3,1.918945023,2.016047122,2.098243551,2.124310241,126.61832,205.30948,205.34406,312.59057,260020.9554,531.7232981,1.4448,0.77,193000,522,4,,"Chem. Sci., 2014,5, 4819-4830",,"Chem. Sci., 2014,5, 4819-4830"
93,-0.200128142,-0.083517836,7.90494773,6.39,143.7,0.0006205,2.20086,1357669.11,0.949,0.4383,5.5172,3.6721,0.9514,0.3536,6.2993,5.0985,0.8484,0.529,4.8565,1.5754,0.8833,0.4411,5.0278,3.5811,0.8334,0.4308,5.0037,3.6809,0.7586,0.5578,4.1425,1.6635,1,2,2,3,1.920210926,2.017480607,2.096218977,2.143951958,126.62123,205.31036,205.34667,312.58614,177502.3786,563.4161192,1.4448,0.95,173000,543,5.5,,"Chem. Sci., 2014,5, 4819-4830",,
