HOMO,LUMO,dipolemoment,H_T1_S1,H_T1_S0,f,emission_energy,density_Pt,CT_S1,R_EH _S1a,LAMBDA_S1,R_EH _S1b,CT_S2,R_EH _S2a,LAMBDA_S2,R_EH _S2b,CT_S3,R_EH _S3a,LAMBDA_S3,R_EH _S3b,CT_T1,R_EH _T1a,LAMBDA_T1,R_EH _T1b,CT_T2,R_EH _T2a,LAMBDA_T2,R_EH _T2b,CT_T3,R_EH _T3a,LAMBDA_T3,R_EH _T3b,coor_bond_type (1),coor_bond_type (2),coor_bond_type (3),coor_bond_type (4),coor_bond_length (1),coor_bond_length (2),coor_bond_length (3),coor_bond_length (4),density_coor (1),density_coor (2),density_coor (3),density_coor (4),Calc_Kr,refractive index,Exp. Kr
-0.195215063,-0.099439386,12.81778385,1.384174139,2.202815141,-3.034422042,1.95899,6.132793687,0.9896,0.1061,6.5577,5.8463,0.9928,0.0912,6.8536,6.0717,0.8385,0.6714,4.344,1.7767,0.9733,0.1292,6.4053,5.6466,0.7542,0.6238,4.0176,1.9756,0.9797,0.1177,6.7501,5.7315,1,2,2,3,1.921749463,2.045679594,2.079037758,2.235892216,2.102522477,2.312483265,2.312458372,2.494859625,5.279681454,1.4448,4.012589127
-0.200249962,-0.099958568,14.46500693,1.610873,2.41594108,-2.859491957,1.78603,6.132796669,0.9616,0.3622,5.4593,4.1703,0.9495,0.4971,5.7438,4.0031,0.9578,0.3688,4.7939,3.3692,0.9321,0.3687,5.2099,4.1269,0.8316,0.4937,4.8711,3.8509,0.9014,0.4474,4.9766,3.721,1,1,2,2,1.944039351,2.015360514,2.087415148,2.134912879,2.102253913,2.102367219,2.312392397,2.312643211,5.337376723,1.4448,3.071882007
-0.201153371,-0.067640927,18.33386783,1.599992178,1.629409599,-4.74,2.0117,6.132795067,0.8537,0.7138,4.6054,1.1701,0.894,0.4712,6.1641,2.3848,0.9436,0.4445,7.6514,0.8901,0.7087,0.6807,3.2969,1.3834,0.7257,0.6242,3.5021,1.3592,0.758,0.5846,4.723,4.2042,1,1,3,3,1.943181155,1.948720093,2.080460045,2.081448774,2.102478505,2.102478951,2.494980749,2.494854914,3.611398845,1.4305,3.501230118
-0.208582078,-0.065050752,12.74508773,0.727541257,1.685024785,-2.750312572,2.52423,6.13279655,0.8739,0.6176,3.833,0.5187,0.8756,0.657,3.4882,0.3189,0.8776,0.6919,3.9464,0.5189,0.8093,0.6191,3.634,0.4932,0.7091,0.6884,3.3221,0.2202,0.7849,0.6448,4.0415,1.4971,1,1,1,1,2.00625148,2.00625148,2.069543186,2.069543186,2.102222099,2.102222167,2.102848968,2.102847906,5.910555246,1.4448,5.382017043
-0.202708488,-0.077738513,8.77448447,2.019531685,2.529404686,-2.986320303,2.00934,6.13279242,0.8399,0.5462,4.6608,2.7047,0.8213,0.5696,4.3646,2.2649,0.8748,0.6144,5.2183,2.4033,0.7063,0.5592,3.6163,2.5755,0.7081,0.5783,3.4611,2.0679,0.7072,0.6275,3.6642,2.2436,2,2,3,3,1.967640719,1.977725461,2.018331241,2.022711794,2.31242527,2.312408855,2.495065531,2.495051599,5.296692878,1.5011,4.840106094
-0.224888043,-0.089938602,7.78369081,2.088277876,1.553640336,-3.951946827,2.1585,6.13279344,0.9211,0.6633,5.1389,1.9691,0.8852,0.5481,5.2376,3.206,0.8708,0.6516,5.2034,1.8415,0.7134,0.6612,3.5798,2.3311,0.7205,0.7087,3.9742,0.6655,0.7507,0.5833,4.2278,2.562,1,2,2,4,1.922480949,2.077654928,2.078617329,2.491321135,2.102486017,2.312478232,2.312485338,3.519953089,4.381315288,1.4448,3.698970004
-0.189041081,-0.072614679,5.49979891,1.885530833,2.444934344,-3.56035157,2.14988,6.132794912,0.9262,0.4596,5.2585,4.1287,0.9517,0.4187,6.0343,4.5999,0.9022,0.2877,3.823,1.9354,0.8844,0.4601,4.9772,4.1177,0.8443,0.4559,4.5627,4.0616,0.7666,0.5496,4.2963,2.4601,1,1,2,2,1.976630213,1.982397538,2.098048855,2.194202133,2.102094851,2.102226251,2.313319791,2.312571535,4.927037693,1.406,5.853871964
-0.230466699,-0.091656486,12.76140201,1.383815366,2.304145713,-3.336864685,2.3457,6.132796362,0.828,0.639,4.0473,1.1628,0.8633,0.5788,4.3807,2.2241,0.846,0.5857,3.5437,1.5255,0.7241,0.6368,3.6354,1.1727,0.7627,0.5845,3.8944,1.8204,0.7878,0.6005,3.8558,1.3147,1,1,2,2,1.992983191,2.028991375,2.06924624,2.098054813,2.102434735,2.102395798,2.312553307,2.312533345,5.424323401,1.4448,6.257678575
-0.220757237,-0.089461868,15.56262923,2.058653742,1.553033016,-5.18,2.12731,6.132793502,0.8823,0.6421,5.1643,2.5812,0.9608,0.3998,6.7558,5.7137,0.8042,0.6414,4.7002,1.2527,0.7213,0.6295,3.7959,2.9088,0.7518,0.6063,4.3811,1.883,0.7839,0.571,4.7448,2.3481,2,1,2,4,1.975851462,2.003785667,2.177917583,2.386653096,2.312405069,2.102359121,2.312591749,3.519958758,3.397398522,1.4448,4.560667306
-0.196545813,-0.08619921,8.51520844,-0.13076828,2.246424715,-3.418164076,2.28881,6.132793801,0.9868,0.1018,5.7922,4.607,0.9978,0.0527,6.5838,5.598,0.8425,0.5175,4.4069,0.5147,0.9852,0.1022,5.7803,4.603,0.9969,0.0536,6.5723,5.59,0.6738,0.6438,3.3824,0.1813,1,2,2,3,1.920407509,2.054182562,2.054182562,2.233068293,2.102485811,2.312511943,2.312511901,2.494883916,5.179295172,1.4448,5.054357662
