HOMO,LUMO,dipolemoment,H_T1_S1,H_T1_S0,f,density_Pt,CT_S1,R_EH _S1a,LAMBDA_S1,R_EH _S1b,CT_S2,R_EH _S2a,LAMBDA_S2,R_EH _S2b,CT_S3,R_EH _S3a,LAMBDA_S3,R_EH _S3b,CT_T1,R_EH _T1a,LAMBDA_T1,R_EH _T1b,CT_T2,R_EH _T2a,LAMBDA_T2,R_EH _T2b,CT_T3,R_EH _T3a,LAMBDA_T3,R_EH _T3b,coor_bond_type (1),coor_bond_type (2),coor_bond_type (3),coor_bond_type (4),coor_bond_length (1),coor_bond_length (2),coor_bond_length (3),coor_bond_length (4),density_coor (1),density_coor (2),density_coor (3),density_coor (4),Calc_lambda,refractive index,lambda
-0.196846785,-0.081335792,12.13977036,148.62,180.35,-7.36,14.12128192,0.9847,0.2253,6.8487,5.8922,0.9339,0.3906,5.5344,3.9888,0.956,0.4055,5.8093,4.1491,0.9544,0.2443,6.5737,5.6889,0.8852,0.3899,5.0413,4.0145,0.8242,0.4953,4.9403,2.8315,1,1,2,2,2.001067965,2.00439567,2.100101426,2.183435367,4.840311081,4.840247446,5.324744425,5.324861386,506.3932143,1.4448,532
-0.205258038,-0.07903056,11.35434347,128.27,77.57,-8.62,14.12128398,0.9526,0.3754,5.8805,4.6342,0.9381,0.3982,4.9047,2.9449,0.9727,0.3185,5.9388,5.1423,0.8695,0.397,5.1853,4.3685,0.7867,0.4627,4.0812,2.7629,0.8208,0.508,4.4881,2.6531,1,1,2,1,1.975629014,2.06101213,2.076812461,2.095086872,4.84041423,4.840371865,5.324857247,4.841724135,500.7612378,1.4448,517
-0.219111071,-0.103816097,13.24988498,100.74,169.09,-8.16,14.12128126,0.8625,0.6523,4.525,1.8858,0.9056,0.6968,5.509,2.2683,0.9138,0.566,5.4073,3.1187,0.7475,0.6612,3.7375,1.9429,0.854,0.6689,4.7835,2.1172,0.7916,0.5794,4.6069,2.0477,1,2,2,2,1.953711596,2.016730522,2.044784585,2.104661968,4.840654871,5.324680972,5.324076532,5.32506786,723.8424358,1.4448,606
-0.215555209,-0.093328365,16.41261664,72.25,193.78,-8.52,14.1212795,0.8197,0.633,5.3027,2.722,0.9258,0.4908,6.4873,5.1571,0.9031,0.5286,6.6423,3.4942,0.7436,0.6145,4.5532,3.0077,0.8296,0.521,5.5344,4.5028,0.732,0.5986,4.3859,0.6032,2,1,2,4,1.963586769,1.987529874,2.178510041,2.396812258,5.324465261,4.840961022,5.324972394,8.105005314,607.2448225,1.4448,568
-0.198932893,-0.058624686,16.81433509,17.69,722.41,-7.3,14.12127918,0.8071,0.551,4.3037,1.5783,0.8756,0.5575,4.4317,1.5948,0.8549,0.6157,5.1547,1.2222,0.7394,0.5579,3.877,1.5176,0.7694,0.5902,3.5798,1.3974,0.6979,0.6181,4.1831,1.1295,1,1,3,3,1.967806139,1.967806139,2.125531698,2.125531698,4.841194345,4.84119474,5.74486805,5.744868082,501.360547,1.412,460
-0.196663603,-0.082652646,4.96662555,150.68,145.73,-9.89,14.12128012,0.9211,0.4374,5.4749,4.3374,0.9291,0.4466,5.8535,4.1378,0.8632,0.2082,3.7931,2.8095,0.6739,0.6816,3.3983,1.8869,0.8465,0.4753,4.9151,4.0341,0.8774,0.4583,5.2175,4.1119,1,1,2,2,1.990121604,1.994851624,2.1975996,2.344007253,4.84078153,4.840169262,5.324861727,5.325411824,636.6222058,1.406,542
-0.216042405,-0.078533081,11.6310335,68.33,14.11,-10.7,14.12128053,0.9113,0.6462,4.6033,1.5768,0.8157,0.6569,4.4387,2.0157,0.9226,0.5517,5.8112,3.4267,0.7113,0.6614,3.6627,1.2587,0.8242,0.667,4.1414,1.2743,0.7759,0.5723,4.3682,2.049,1,2,2,2,1.962374072,2.025964708,2.052058722,2.101434034,4.840621288,5.324137587,5.324342067,5.325217054,530.0889609,1.4448,484
-0.192785228,-0.057872679,1.69769302,127.1,106.52,-8.29,14.12128301,0.8226,0.6125,4.0038,0.993,0.8944,0.5668,4.3664,1.2063,0.7947,0.3078,3.4461,1.1591,0.7482,0.6122,3.6256,0.9519,0.74,0.5971,3.4498,0.6077,0.7184,0.6851,3.6948,0.6588,1,1,2,2,1.95376278,1.978912328,2.108718094,2.139895558,4.840803811,4.840750953,5.325103007,5.325094099,538.7931034,1.406,477
-0.196006667,-0.07220679,5.29316386,144.03,197.69,-9.24,14.12128027,0.9009,0.4837,5.0964,3.708,0.9759,0.3492,5.5031,4.0464,0.9195,0.4122,5.5645,4.1276,0.7195,0.6457,3.5768,1.5841,0.7903,0.5859,4.4166,2.5203,0.8551,0.4265,4.7759,3.1442,1,1,2,2,1.989342856,1.99406018,2.191350725,2.282200035,4.840787535,4.84016689,5.324836262,5.325307776,575.7720686,1.406,498
-0.210260253,-0.063436734,12.80502413,42.5,245.53,-6.52,14.1212849,0.8357,0.5155,4.0995,2.5043,0.9392,0.5321,5.0391,2.2944,0.8893,0.5302,4.518,2.283,0.7083,0.5219,3.4296,2.4532,0.7979,0.5261,4.1901,2.7485,0.7711,0.5464,3.8427,1.8834,1,1,1,2,1.949433251,2.045835282,2.052791758,2.16900461,4.840446635,4.840457305,4.841925081,5.324953066,471.5868899,1.4448,442
-0.231390442,-0.089423879,9.68181763,47.47,193.97,-7.78,14.12127971,0.7938,0.688,3.7972,0.8683,0.8472,0.5629,4.2543,1.95,0.8101,0.6981,3.9806,0.4285,0.6927,0.6931,3.4213,0.9138,0.7562,0.7168,3.7904,1.0161,0.7695,0.5677,3.8988,1.9425,1,2,2,4,1.912066944,2.053768487,2.092800038,2.493001805,4.841230199,5.324776856,5.324718567,8.104993299,532.6597765,1.4448,491
-0.229037602,-0.121464345,18.13204034,20.35,201.21,-7.65,14.12127918,0.8829,0.6451,4.836,2.3278,0.8929,0.5414,4.6413,2.1094,0.8805,0.4298,4.3634,2.839,0.7721,0.6396,3.9643,2.2516,0.8396,0.5885,4.4711,1.956,0.848,0.613,4.6668,1.8049,2,1,2,4,1.978089988,2.005495949,2.12129418,2.390035355,5.324483771,4.840962049,5.325187168,8.105007751,797.6071785,1.4448,621
-0.209363375,-0.093290266,2.82493518,22.8,61.69,-9.02,14.1212855,0.8258,0.6064,4.1341,0.3208,0.9003,0.6478,4.7488,1.3105,0.8891,0.3647,5.2225,4.4614,0.7308,0.6124,3.7192,0.3406,0.6593,0.725,3.4141,0.5371,0.8553,0.6937,4.5101,0.7584,1,2,1,1,1.912013075,2.0300633,2.047478693,2.081238574,4.844262517,5.324504813,4.841267948,4.841111653,690.5154364,1.4448,619
-0.200468192,-0.101402789,14.16506012,7.71,274.71,-7.09,14.12127574,0.9396,0.4038,5.5154,3.7011,0.9545,0.3982,5.7245,3.4635,0.9194,0.3889,6.0958,4.9636,0.9079,0.4073,5.257,3.6501,0.9119,0.4016,5.3719,3.3864,0.7202,0.5187,4.0195,2.479,2,2,3,3,1.985596888,1.989128704,2.008672696,2.012349373,5.324339242,5.324391074,5.745058286,5.744939165,703.9574901,1.4448,655
-0.189041081,-0.072614679,5.49979891,76.83,278.57,-8.2,14.12128214,0.9262,0.4596,5.2585,4.1287,0.9517,0.4187,6.0343,4.5999,0.9022,0.2877,3.823,1.9354,0.8844,0.4601,4.9772,4.1177,0.8443,0.4559,4.5627,4.0616,0.7666,0.5496,4.2963,2.4601,1,1,2,2,1.976630213,1.982397538,2.098048855,2.194202133,4.840252269,4.840554828,5.326615666,5.324892742,576.7763782,1.406,476
-0.227738952,-0.115363519,16.42762719,159.53,283.26,-7.2,14.12127859,0.8791,0.58,4.6752,2.6621,0.8747,0.4878,4.18,2.3044,0.8926,0.4846,4.5875,2.0504,0.8111,0.5788,4.2232,2.5801,0.8175,0.4885,4.2525,2.0297,0.8028,0.5098,4.1557,2.1937,2,1,2,4,1.989017094,2.002044455,2.132227474,2.386174763,5.324518548,4.84097374,5.325089328,8.105016142,703.7337616,1.4448,624
-0.207990269,-0.090797928,28.06062948,5.7,17.94,-12.6,14.12127717,0.9898,0.164,5.8335,4.1854,0.9586,0.3218,5.3351,3.4421,0.9697,0.3305,5.4763,3.3105,0.9751,0.1741,5.7158,4.0949,0.8963,0.336,5.01,3.253,0.7091,0.5938,3.5409,0.7304,2,2,2,2,2.011238424,2.02512691,2.03091925,2.051585728,5.324701231,5.324695046,5.324563455,5.324450356,500.1109117,1.4448,520
-0.237748752,-0.089882084,7.34853431,31.32,196.94,-7.75,14.12127974,0.7701,0.7101,3.722,0.6134,0.8635,0.5694,4.4413,0.6334,0.8106,0.6122,3.9757,0.65,0.6787,0.7078,3.3818,0.6731,0.7678,0.6303,3.9824,0.9474,0.7074,0.6562,3.4893,1.4394,1,2,2,4,1.917031559,2.047077185,2.087689872,2.48516921,4.841192607,5.324766582,5.324689495,8.104997307,509.8118219,1.4448,470
-0.22361292,-0.076725772,9.40255289,139.21,195.67,-6.93,14.12127969,0.8531,0.5769,4.833,1.4555,0.8346,0.6377,4.2511,0.7927,0.8503,0.5941,4.9394,1.607,0.6969,0.6037,3.5712,1.2337,0.7615,0.6103,4.0947,1.0176,0.7381,0.6023,3.9873,1.3241,1,2,2,4,1.922114981,2.045819151,2.078339963,2.496016426,4.841163939,5.32447174,5.324394971,8.104994529,476.3020523,1.4448,453
-0.199728703,-0.082078244,14.73909358,77.9,123.88,-6.68,14.12128619,0.9427,0.4397,5.3141,3.8374,0.9335,0.5634,5.4951,3.4151,0.8886,0.4299,5.8013,4.254,0.864,0.4509,4.83,3.5763,0.7534,0.5486,4.1532,2.4357,0.8259,0.5168,4.9866,2.6119,1,1,2,2,1.935930009,2.011384846,2.094812163,2.112964505,4.84062192,4.840860299,5.324343675,5.325599453,569.0109305,1.4448,550
-0.227509587,-0.102201118,14.80902735,161.25,76.78,-8.47,14.12127906,0.8926,0.5273,5.5163,4.0201,0.8719,0.663,4.8934,1.6071,0.9085,0.4972,5.6361,3.4819,0.7435,0.5633,4.3567,3.0911,0.8128,0.5976,4.7851,2.6813,0.7946,0.5777,4.5806,2.6616,2,1,2,4,1.970460099,2.002317407,2.173275178,2.390103136,5.324405736,4.840938271,5.324974341,8.105005737,572.8038285,1.4448,529
-0.204270212,-0.089082366,5.66850367,104.47,62.24,-8.61,14.1212791,0.9439,0.5407,5.3926,2.7549,0.9232,0.5048,5.3204,2.574,0.9451,0.5244,6.0908,2.484,0.7508,0.5284,3.6716,2.7748,0.8881,0.5182,5.1568,1.0616,0.9114,0.5096,5.5263,1.2542,1,2,2,3,1.951167855,2.038765803,2.054482173,2.109790037,4.840598766,5.324394873,5.324326868,5.744175673,705.8850318,1.4448,610
-0.20420262,-0.083527311,6.8055463,8.4,296,-6.49,14.1212802,0.9297,0.4533,5.213,2.8867,0.8598,0.5229,4.6729,2.611,0.9507,0.5175,5.4935,2.3789,0.8737,0.4586,4.8216,2.7876,0.778,0.5468,4.1474,2.2578,0.7524,0.5773,4.0741,1.5424,1,2,2,3,1.944500193,2.010334549,2.066854131,2.082421907,4.840592365,5.324525464,5.324306455,5.74487045,555.2247093,1.4448,551
-0.211407754,-0.072763072,10.53803422,322.21,287.91,-7.38,14.12128323,0.9456,0.3661,5.1721,4.166,0.9533,0.3908,4.8501,3.8806,0.9582,0.3515,5.5092,3.7386,0.8751,0.3777,4.7966,3.9966,0.8708,0.4334,4.5405,3.3255,0.7242,0.5629,3.6092,1.5814,1,1,2,2,1.958045199,2.002422033,2.088272971,2.150208827,4.840409725,4.84033598,5.325191646,5.325241828,454.3139676,1.4448,430
-0.200128142,-0.083517836,7.90494773,6.39,143.7,-7.38,14.1212799,0.949,0.4383,5.5172,3.6721,0.9514,0.3536,6.2993,5.0985,0.8484,0.529,4.8565,1.5754,0.8833,0.4411,5.0278,3.5811,0.8334,0.4308,5.0037,3.6809,0.7586,0.5578,4.1425,1.6635,1,2,2,3,1.920210926,2.017480607,2.096218977,2.143951958,4.841200189,5.324522785,5.324699624,5.744880079,563.4161192,1.4448,543
-0.213154782,-0.092210442,1.44820173,22.44,55.43,-9.21,14.12128577,0.8229,0.6565,4.4213,0.577,0.93,0.4522,5.9491,4.3119,0.8864,0.6476,5.0996,2.4682,0.6905,0.65,3.6647,0.6389,0.7656,0.6493,4.3532,1.777,0.8643,0.4763,5.3135,3.8407,1,2,1,1,1.906992659,2.030271903,2.060660331,2.086256696,4.84426291,5.324532186,4.84131754,4.840894191,677.2625485,1.4448,589
-0.214200211,-0.098395864,14.08096613,26.66,196.49,-7.18,14.12127582,0.9027,0.5004,5.5097,2.9291,0.9104,0.4225,5.4447,3.47,0.9077,0.5346,5.842,3.2487,0.8285,0.5077,4.7845,2.9099,0.8231,0.4642,4.6434,3.0679,0.8798,0.5149,5.6398,2.8042,2,2,3,3,1.986606655,1.989603729,2.00237484,2.009808946,5.324280343,5.324212232,5.744711951,5.744672307,590.3609295,1.4448,586
-0.226724675,-0.104955856,10.96384484,119.08,174.22,-7.57,14.12128076,0.8258,0.7733,4.251,0.7498,0.8965,0.5074,5.4038,2.1334,0.8779,0.607,5.2184,0.7244,0.7381,0.7682,3.6935,0.8309,0.745,0.6948,3.8244,1.0747,0.802,0.6181,4.436,2.4008,1,2,2,4,1.916051148,2.033141904,2.068741163,2.51007968,4.841195372,5.32474686,5.324603879,8.10499863,690.1311249,1.4448,592
-0.211799163,-0.096810271,8.42384933,6.97,111.14,-7.1,14.12127585,0.8754,0.6008,4.9928,0.8125,0.8588,0.6493,5.268,1.5792,0.88,0.6392,5.255,1.8487,0.7696,0.6099,4.2488,0.8018,0.7531,0.6475,4.2378,0.9971,0.7754,0.7236,4.254,0.526,2,2,3,3,1.986501951,1.987868708,2.015524001,2.027042427,5.324036525,5.324104258,5.74503257,5.745027676,655.2976055,1.4448,631
-0.208480675,-0.096801022,15.73827553,36.53,230.69,-9.5,14.12127853,0.8066,0.6605,4.7996,2.2205,0.9356,0.4547,6.1137,4.7584,0.8985,0.5575,6.091,3.6993,0.6968,0.6478,3.9552,2.4127,0.8594,0.4903,5.2158,4.4388,0.7113,0.6093,4.2605,0.3111,2,1,2,4,1.979340547,1.981893539,2.163956793,2.395543362,5.324445436,4.841130451,5.324914652,8.105013885,746.3495083,1.4448,644
-0.200225133,-0.078679833,13.11486823,64.7,93.25,-5.93,14.121285,0.965,0.3152,6.4513,5.2786,0.93,0.4202,5.5296,3.7938,0.9438,0.3893,5.8724,4.0936,0.9085,0.3397,5.924,4.9772,0.8667,0.4319,5.0351,3.6769,0.8322,0.4642,4.8051,3.1179,1,1,1,2,1.992109686,2.038019382,2.061912947,2.084263179,4.840352184,4.840336217,4.842093558,5.324763465,492.2979196,1.4448,524
-0.202708488,-0.077738513,8.77448447,104.6,338.38,-6.88,14.12127641,0.8399,0.5462,4.6608,2.7047,0.8213,0.5696,4.3646,2.2649,0.8748,0.6144,5.2183,2.4033,0.7063,0.5592,3.6163,2.5755,0.7081,0.5783,3.4611,2.0679,0.7072,0.6275,3.6642,2.2436,2,2,3,3,1.967640719,1.977725461,2.018331241,2.022711794,5.324555954,5.324518158,5.745100698,5.745068617,617.1180587,1.5011,546
-0.231900485,-0.088899537,8.61029524,28.18,182.93,-8.07,14.1212798,0.7693,0.7143,3.7125,0.4955,0.8705,0.5266,4.4835,2.2157,0.7987,0.6598,3.9262,0.3051,0.6848,0.718,3.4223,0.5959,0.7858,0.5276,4.1242,2.1932,0.7534,0.6648,3.7409,0.5326,1,2,2,4,1.912659405,2.054805587,2.083791256,2.490590492,4.84124402,5.324760008,5.324693098,8.104995402,538.3112655,1.4448,481
-0.192489044,-0.083513876,8.45313158,4.94,113.12,-7.28,14.12127972,0.9564,0.4157,5.6071,3.8757,0.9722,0.3037,6.682,5.5754,0.8617,0.4828,5.0496,1.9464,0.9036,0.4168,5.2043,3.838,0.8851,0.3504,5.629,4.7609,0.7471,0.5697,4.1088,1.8636,1,2,2,3,1.920075259,2.011901837,2.098580711,2.162662711,4.84117926,5.324519571,5.324709558,5.744104344,608.6427267,1.4448,570
-0.209872441,-0.096244208,12.99946629,11.22,151.25,-7.11,14.12127562,0.8895,0.5593,5.5645,2.4207,0.9196,0.439,5.6759,3.9917,0.9024,0.5299,5.892,3.0874,0.8161,0.5504,4.7977,2.4473,0.8392,0.4838,4.9079,2.7576,0.8652,0.5123,5.6413,2.3695,2,2,3,3,1.989743953,1.993260144,2.005564509,2.01589087,5.32425116,5.324220125,5.74493184,5.74474158,618.5525869,1.4448,599
-0.197023222,-0.099775718,10.61775875,11.91,211.81,-7.32,14.1212795,0.9864,0.1081,6.3981,5.2031,0.9975,0.0745,6.899,5.662,0.8135,0.696,4.3239,0.4343,0.9823,0.1111,6.3617,5.1758,0.9857,0.0978,6.7852,5.4683,0.728,0.6921,3.7726,0.2886,1,2,2,3,1.921406256,2.050060975,2.058883435,2.234397682,4.841200505,5.324680388,5.324654869,5.744690673,626.9687577,1.4448,610
-0.207266507,-0.078064768,10.42466547,38.94,84.33,-8.93,14.12128116,0.9596,0.2616,6.0562,5.4175,0.9465,0.3834,6.2787,4.4213,0.97,0.2588,6.1418,5.3171,0.7646,0.4836,4.2124,3.5297,0.7877,0.5442,4.4726,2.9553,0.9527,0.2997,6.485,4.999,1,1,2,2,1.997885382,2.015254078,2.168869291,2.175743091,4.840367755,4.840502828,5.324744036,5.324895371,488.1005802,1.4448,510
-0.219772754,-0.086890694,16.64718652,93.66,29.91,-11.1,14.12127871,0.8906,0.5714,5.4787,3.5019,0.9542,0.5297,6.6165,4.9283,0.8174,0.6301,4.8512,1.6495,0.7141,0.56,3.7219,4.1671,0.7451,0.5755,4.6408,2.1416,0.8093,0.5978,4.9456,2.7697,2,1,2,4,1.975276436,2.005131666,2.181084363,2.389060485,5.324472324,4.840841417,5.324964361,8.105003934,577.899986,1.4448,525
-0.202821551,-0.061981552,10.01973998,19.46,101.72,-7.14,14.12128254,0.9478,0.5359,5.3023,2.833,0.8868,0.5737,4.8032,1.9231,0.8815,0.673,5.1481,1.724,0.7427,0.5875,4.2404,2.2318,0.844,0.5901,4.5036,2.0958,0.8474,0.5878,4.7617,1.9712,1,1,2,2,1.974985823,1.985954682,2.157759486,2.173199715,4.840255747,4.840398739,5.325270009,5.32481844,469.1567286,1.4448,454
-0.21073066,-0.098472188,15.84549088,2.63,341.02,-7.58,14.12127457,0.9616,0.4339,5.1821,3.0145,0.9693,0.4337,5.6045,3.1569,0.8834,0.5202,5.0464,3.0545,0.9205,0.4389,4.9228,2.9775,0.8968,0.4527,4.9426,2.903,0.7439,0.6011,3.8649,1.5733,2,2,3,3,2.00140001,2.003016226,2.017117994,2.018247259,5.324418353,5.324429118,5.744826972,5.744849623,600.9877525,1.4448,590
-0.216290762,-0.093382036,15.44258745,62.07,242.54,-8.41,14.12127884,0.7784,0.6426,4.4023,1.7603,0.9228,0.4982,5.6376,4.1106,0.8373,0.5953,5.2359,1.6619,0.6511,0.6291,3.5382,2.0381,0.8188,0.5356,4.6521,3.5988,0.7099,0.6021,4.1525,0.4089,1,2,2,4,1.973090469,1.975780858,2.167324157,2.38910569,4.841272291,5.324435061,5.324919277,8.10500786,668.4672155,1.4448,588
-0.208957401,-0.086330135,3.04582365,27.17,174.28,-9.01,14.12128054,0.897,0.5006,5.3302,1.9642,0.9671,0.3931,6.2452,2.8883,0.9199,0.5172,5.4031,0.9841,0.7956,0.5107,4.4504,1.9786,0.8241,0.5164,4.6385,0.7141,0.7531,0.5807,4.0377,0.4153,1,2,2,3,1.903752873,2.026822883,2.076176775,2.135488937,4.841163544,5.324310596,5.324783381,5.744968723,564.0850677,1.4448,515
-0.209850279,-0.081128116,4.98917458,3.79,34.04,-9.97,14.12128026,0.9526,0.4735,5.3411,3.803,0.9688,0.4087,6.2749,4.5834,0.7991,0.6448,4.078,1.2894,0.7432,0.5451,4.0297,2.6615,0.8232,0.5449,4.3482,2.494,0.8821,0.5066,5.376,3.0074,1,2,2,3,1.925699094,2.000727368,2.095523562,2.184918076,4.841202006,5.324323652,5.32471959,5.744967059,549.0953212,1.4448,488
-0.172957902,-0.067854215,2.85699596,0.38,21.16,-8.36,14.12128432,0.9111,0.5316,4.776,2.4751,0.9212,0.5362,4.8554,2.2989,0.8961,0.4737,3.9384,1.391,0.8749,0.5288,4.6194,2.4988,0.8609,0.5321,4.455,2.3002,0.7579,0.626,4.1079,1.7585,1,1,2,2,1.964379037,1.964379037,2.143432061,2.143432061,4.840647206,4.840647443,5.325165605,5.325167504,694.4405553,1.406,613
-0.230020067,-0.103235699,17.7063429,780.49,20.9,-8.28,14.12128032,0.8506,0.5173,4.6647,2.6471,0.8517,0.5999,5.0814,1.4715,0.8073,0.3177,4.1643,3.2321,0.7551,0.6093,4.4773,1.529,0.81,0.5146,4.4298,2.7773,0.7828,0.3159,4.0591,3.22,2,1,2,4,1.925360486,2.020692208,2.181524467,2.371319042,5.324572465,4.840931162,5.325044932,8.104999162,594.6700301,1.4448,563
-0.221571248,-0.10597697,9.86979539,95.81,244.91,-7.09,14.12128052,0.8404,0.5184,4.2222,2.1525,0.8251,0.5524,3.9187,1.874,0.9581,0.2594,4.5215,3.3697,0.7804,0.5257,3.9553,2.1342,0.7629,0.7394,3.8212,0.7205,0.7883,0.4584,3.8029,2.4406,1,2,3,2,1.973967832,2.027089786,2.065739577,2.088702947,4.841094672,5.324659642,5.745185324,5.324764001,665.564549,1.4448,595
-0.220911013,-0.094455305,16.54416348,119.08,40.52,-11.8,14.12127888,0.9079,0.5293,5.8348,3.8666,0.9498,0.5312,6.4755,4.6344,0.8251,0.6283,5.0297,2.0961,0.7285,0.5342,3.9502,4.1928,0.7522,0.6204,4.3266,1.8125,0.8594,0.5441,5.796,3.6979,2,1,2,4,1.971036529,2.005501683,2.180313051,2.387242133,5.324479777,4.84085074,5.324949512,8.10500448,584.4618002,1.4448,537
-0.219058179,-0.08833265,12.1786884,16.55,200.64,-7.39,14.12128181,0.8502,0.5934,4.1933,1.6574,0.886,0.6599,5.1739,1.8405,0.9253,0.5882,4.5924,1.9645,0.7503,0.6039,3.7264,1.5502,0.7712,0.6483,4.2252,1.4165,0.7124,0.643,3.6069,0.5964,1,2,2,2,1.933314253,2.01898316,2.047346087,2.094302987,4.840675416,5.324695874,5.324100847,5.325090545,551.199303,1.4448,508
-0.203247973,-0.087694745,6.43165897,91.77,57.77,-8.54,14.1212797,0.9301,0.5739,5.3171,2.7683,0.8843,0.572,4.9777,2.3726,0.8549,0.6307,4.7552,1.7805,0.8436,0.5754,4.9147,2.548,0.8319,0.5696,4.5189,2.1628,0.7663,0.6235,4.0794,1.7105,1,2,2,3,1.942306618,2.031276446,2.065915051,2.090908176,4.840590706,5.324369981,5.324312984,5.744932831,598.0457409,1.4448,574
-0.194131954,-0.073554635,6.02056454,50.42,143.61,-8.13,14.12128104,0.9372,0.4698,5.4083,3.8147,0.9791,0.3391,5.6846,4.1783,0.9382,0.4604,5.5116,3.7924,0.8689,0.4667,4.9581,3.8393,0.7339,0.6225,3.4321,1.7725,0.9235,0.366,5.1939,3.7931,1,1,2,2,1.976827003,1.989092758,2.186378284,2.227202056,4.840191635,4.840528433,5.324826621,5.32615814,547.2342604,1.406,464
-0.190024741,-0.071758716,5.76036582,36.75,115.17,-8.5,14.12128011,0.9321,0.4628,5.6161,4.0154,0.9798,0.3283,5.7905,4.3121,0.9352,0.3826,5.7122,4.3687,0.8367,0.4651,4.8473,4.0382,0.6981,0.6446,3.539,1.5809,0.9128,0.3618,5.2411,3.4514,1,1,2,2,1.994280071,1.99797998,2.223777417,2.371513019,4.840710815,4.840207841,5.324934078,5.325403892,576.4733776,1.406,520
-0.192382819,-0.076452119,4.61209606,109.02,239.48,-8.43,14.12128165,0.9083,0.4714,5.1264,3.9894,0.9388,0.4059,5.8406,4.3933,0.8426,0.2383,3.4449,2.3427,0.8396,0.4789,4.5482,3.8925,0.8097,0.4594,4.5128,4.1225,0.7215,0.5546,4.013,2.7902,1,1,2,2,1.981591532,1.988591461,2.157694371,2.184997025,4.840220885,4.840788957,5.325823967,5.324791562,608.5023481,1.406,514
-0.208591231,-0.060984669,5.48075003,107.12,244.18,-9.85,14.12128141,0.6878,0.7625,4.0108,0.7279,0.9729,0.2597,6.1236,5.4068,0.8178,0.5851,4.8435,2.4047,0.6679,0.7946,3.742,0.5372,0.55,0.4334,3.0849,4.0712,0.6909,0.5923,3.8003,2.3415,1,1,3,3,1.971335842,1.973867523,2.102321098,2.145605975,4.841412137,4.840882419,5.745313146,5.745300611,502.1157701,1.4906,463
-0.190917989,-0.074614878,4.72504412,60.03,247.8,-8.14,14.12128192,0.9302,0.453,5.3711,4.2304,0.9462,0.439,5.8476,4.3472,0.9769,0.3352,5.5346,4.1177,0.8872,0.4538,5.0737,4.2126,0.828,0.476,4.3529,3.7815,0.7701,0.5517,4.2959,2.5081,1,1,2,2,1.972779004,1.988241686,2.130634647,2.188106259,4.840221834,4.840587071,5.326659312,5.324786741,573.4289665,1.406,468
-0.206382355,-0.091386278,1.65363244,28.42,60.28,-9.22,14.12128576,0.8536,0.5831,4.8803,1.9622,0.934,0.536,6.5426,3.7583,0.9105,0.7199,5.6093,0.7331,0.7177,0.5807,3.8757,2.2243,0.7933,0.6576,4.7446,1.4035,0.8738,0.5965,5.7981,2.7804,1,2,1,1,1.908799099,2.025962734,2.058295654,2.0867894,4.844270233,5.324519473,4.841320067,4.840695091,679.0873942,1.4448,608
-0.195438739,-0.047440124,4.80592797,78.11,4.19,-11.5,14.12128075,0.8688,0.6535,5.2574,1.8907,0.9346,0.3755,5.8441,4.2803,0.8602,0.6262,4.863,2.327,0.6592,0.6473,3.154,2.0145,0.6037,0.5884,3.4182,1.0412,0.7705,0.582,4.6342,2.2117,1,1,3,3,1.967842727,1.99804029,2.092005975,2.144312011,4.841714268,4.840765807,5.744964756,5.744812384,533.9465106,1.4906,476
-0.217741422,-0.099852075,8.04374548,0.02,0.1,-6.37,14.12127626,0.8751,0.5652,4.7847,0.9205,0.8333,0.6655,4.8096,0.3639,0.8841,0.6431,5.1289,1.4211,0.7861,0.5751,4.1833,0.9298,0.7173,0.662,3.8506,0.6908,0.772,0.7256,4.2005,0.6605,2,2,3,3,1.984001008,1.984001008,2.012380928,2.012380928,5.324085401,5.324085401,5.744995977,5.744995945,628.5291404,1.4448,618
-0.208064739,-0.083249201,4.72258851,7.25,220.65,-7,14.12127933,0.9325,0.4725,5.319,3.0886,0.8462,0.4759,4.7735,2.8104,0.9447,0.4409,5.9532,3.0141,0.8503,0.4791,4.7054,2.9919,0.7373,0.5677,3.9982,1.9815,0.7928,0.5372,4.3144,1.9874,1,2,2,3,1.956187619,2.013954816,2.084124756,2.090051913,4.840922077,5.324469645,5.324759667,5.744361624,529.989272,1.4448,553
-0.21597712,-0.094839157,15.8383216,27.84,159.36,-7.84,14.1212846,0.8186,0.6288,4.595,1.743,0.9065,0.4854,5.6801,2.881,0.9224,0.4906,5.982,2.8107,0.6665,0.6182,3.6358,2.0215,0.8304,0.5216,4.6909,3.6801,0.8143,0.5056,5.3265,3.321,1,1,2,2,1.966424674,1.975964575,2.02010569,2.16356858,4.842885768,4.841216063,5.324565647,5.324887338,677.5993311,1.4448,591
-0.245879355,-0.103680361,26.25980102,66.93,111.15,-8.6,14.12127578,0.8506,0.5898,4.6216,1.268,0.9181,0.572,5.1068,1.6663,0.9218,0.4496,5.3157,2.2778,0.6913,0.5803,3.4946,1.1704,0.7645,0.5607,4.0757,1.0264,0.6151,0.6118,3.2076,2.3621,2,2,2,2,1.998330053,2.023137662,2.032018209,2.054733316,5.325046051,5.324900678,5.324588294,5.324473396,527.3297129,1.4448,452
